,FIPS,PCT_DIABETES_ADULTS08,PCT_DIABETES_ADULTS13,PCT_OBESE_ADULTS12,PCT_OBESE_ADULTS17,PCT_HSPA17,RECFACPTH11,RECFACPTH16
38,1077,12.8,14.2,33.0,36.3,,0.064792717,0.097488058
39,1079,12.9,15.6,33.0,36.3,,0.0293712,0.060183
40,1081,9.6,9.5,33.0,36.3,,0.0555105,0.0440299
41,1083,10.4,12.6,33.0,36.3,,0.0350754,0.07533362
42,1085,17.1,23.5,33.0,36.3,,0.08984726,0.097646714
43,1087,16.2,18.4,33.0,36.3,,0.0,0.0
44,1089,13.0,11.5,33.0,36.3,,0.164939223,0.140326455
45,1091,15.9,20.2,33.0,36.3,,0.096856991,0.102537811
46,1093,11.7,18.7,33.0,36.3,,0.0,0.100260678
47,1095,11.5,12.8,33.0,36.3,,0.042603,0.0420862
48,1097,12.2,15.6,33.0,36.3,,0.072598443,0.074725444
49,1099,13.5,17.8,33.0,36.3,,0.0,0.0463564
50,1101,12.7,13.5,33.0,36.3,,0.082910779,0.088216094
51,1103,11.0,12.6,33.0,36.3,,0.0499971,0.0589131
52,1105,17.5,21.7,33.0,36.3,,0.0,0.0
53,1107,14.9,16.4,33.0,36.3,,0.103337811,0.098449422
54,1109,12.9,13.5,33.0,36.3,,0.0606667,0.0602138
55,1111,12.9,14.9,33.0,36.3,,0.0439754,0.0
56,1113,13.6,12.9,33.0,36.3,,0.072948772,0.068755694
57,1115,11.4,12.8,33.0,36.3,,0.0474997,0.0342928
58,1117,8.0,8.7,33.0,36.3,,0.101068803,0.146868619
59,1119,17.1,20.1,33.0,36.3,,0.07412349,0.07732756
60,1121,13.6,15.3,33.0,36.3,,0.0244523,0.0
61,1123,14.3,13.7,33.0,36.3,,0.0241581,0.0246463
62,1125,11.1,12.3,33.0,36.3,,0.066090829,0.0581728
63,1127,13.3,16.7,33.0,36.3,,0.090121213,0.077446136
64,1129,12.9,17.8,33.0,36.3,,0.0,0.0
65,1131,17.1,19.3,33.0,36.3,,0.0,0.0
66,1133,10.0,13.2,33.0,36.3,,0.0,0.083727551
67,2013,5.5,7.6,25.7,34.2,18.400000000000006,0.0,0.0
68,2016,5.9,6.2,25.7,34.2,18.400000000000006,0.0,0.0
69,2020,7.0,7.0,25.7,34.2,18.400000000000006,0.118127112,0.147960831
70,2050,5.5,5.8,25.7,34.2,18.400000000000006,0.0,0.0556174
71,2060,6.8,8.5,25.7,34.2,18.400000000000006,0.0,0.0
72,2068,6.0,5.8,25.7,34.2,18.400000000000006,0.0,0.0
73,2070,7.8,7.2,25.7,34.2,18.400000000000006,0.0,0.0
74,2090,5.2,5.5,25.7,34.2,18.400000000000006,0.071329583,0.119281923
75,2100,6.6,7.9,25.7,34.2,18.400000000000006,0.0,0.0
76,2105,,7.3,25.7,34.2,18.400000000000006,0.0,0.0
77,2110,5.3,5.9,25.7,34.2,18.400000000000006,0.186555562,0.246875482
78,2122,6.3,7.2,25.7,34.2,18.400000000000006,0.159846547,0.136651692
79,2130,7.2,8.9,25.7,34.2,18.400000000000006,0.366461448,0.218547388
80,2150,6.2,6.6,25.7,34.2,18.400000000000006,0.0,0.0
81,2164,7.2,7.4,25.7,34.2,18.400000000000006,0.0,0.0
82,2170,5.8,8.2,25.7,34.2,18.400000000000006,0.0763184,0.067228182
83,2180,7.1,6.0,25.7,34.2,18.400000000000006,0.0,0.0
84,2185,7.1,6.5,25.7,34.2,18.400000000000006,0.104723008,0.103252452
85,2188,6.6,6.5,25.7,34.2,18.400000000000006,0.0,0.0
86,2195,,7.1,25.7,34.2,18.400000000000006,0.0,0.0
87,2198,,7.3,25.7,34.2,18.400000000000006,0.0,0.0
88,2220,6.8,6.7,25.7,34.2,18.400000000000006,0.225022502,0.22810219
89,2230,,6.4,25.7,34.2,18.400000000000006,0.0,0.0
90,2240,6.3,6.9,25.7,34.2,18.400000000000006,0.0,0.0
91,2261,6.2,7.4,25.7,34.2,18.400000000000006,0.205296654,0.214132762
92,2270,6.4,4.6,25.7,34.2,18.400000000000006,0.0,0.0
93,2275,,8.9,25.7,34.2,18.400000000000006,0.0,0.0
94,2282,7.3,7.9,25.7,34.2,18.400000000000006,0.0,0.0
95,2290,6.9,8.3,25.7,34.2,18.400000000000006,0.0,0.0
96,4001,13.6,14.4,26.0,29.5,24.5,0.0,0.0
97,4003,8.4,10.3,26.0,29.5,24.5,0.082736627,0.0478641
98,4005,7.1,7.6,26.0,29.5,24.5,0.059621,0.085665946
