,FIPS,REDEMP_SNAPS12,REDEMP_SNAPS17,PCT_SNAP12,PCT_SNAP17,PC_SNAPBEN12,PC_SNAPBEN17,SNAP_PART_RATE11,SNAP_PART_RATE16,PC_WIC_REDEMP11,PC_WIC_REDEMP16,REDEMP_WICS11,REDEMP_WICS16,PCT_WIC12,PCT_WIC17,PCT_WICINFANTCHILD14,PCT_WICINFANTCHILD16,FOOD_BANKS18
0,1001,301432.0810690423,223185.67835820897,18.90847619188084,16.50005631061468,18.471487045288086,16.354677200317383,84.02,86.898,15.612932205200195,14.620244026184082,172391.75,161530.296875,2.9476822818535977,2.543569610894678,33.481211465729324,32.910875735643216,0
1,1003,274394.50366265053,157623.13356797185,18.90847619188084,16.50005631061468,15.890722274780273,11.47935962677002,84.02,86.898,17.10749626159668,13.8738374710083,122739.7109375,102920.0859375,2.9476822818535977,2.543569610894678,33.481211465729324,32.910875735643216,0
2,1005,325496.5607655502,257032.07888888888,18.90847619188084,16.50005631061468,31.116222381591797,29.122146606445312,84.02,86.898,21.934051513671875,24.032283782958984,85699.46875,103414.921875,2.9476822818535977,2.543569610894678,33.481211465729324,32.910875735643216,0
3,1007,356444.032,227725.24513761466,18.90847619188084,16.50005631061468,22.435049057006836,17.557790756225586,84.02,86.898,21.48293685913086,22.081811904907227,81445.3984375,99703.796875,2.9476822818535977,2.543569610894678,33.481211465729324,32.910875735643216,0
4,1009,229730.02263157893,142860.82556016598,18.90847619188084,16.50005631061468,20.27230453491211,12.377972602844238,84.02,86.898,17.110687255859375,13.860494613647461,123098.5625,99651.7578125,2.9476822818535977,2.543569610894678,33.481211465729324,32.910875735643216,0
5,1011,211588.91372093023,170993.92131147542,18.90847619188084,16.50005631061468,33.89244842529297,31.25101089477539,84.02,86.898,,,260599.375,128019.328125,2.9476822818535977,2.543569610894678,33.481211465729324,32.910875735643216,0
6,1013,345604.8689908257,302939.2254180602,18.90847619188084,16.50005631061468,32.66789245605469,27.97814178466797,84.02,86.898,36.56119155883789,32.755916595458984,190831.140625,164017.0625,2.9476822818535977,2.543569610894678,33.481211465729324,32.910875735643216,0
7,1015,315617.50259818736,235151.7624264706,18.90847619188084,16.50005631061468,29.975231170654297,22.04634666442871,84.02,86.898,22.09410285949707,20.889013290405273,136979.953125,120130.625,2.9476822818535977,2.543569610894678,33.481211465729324,32.910875735643216,0
8,1017,327935.78832116787,270507.9227102804,18.90847619188084,16.50005631061468,28.581974029541016,23.49489402770996,84.02,86.898,11.316189765930176,13.211095809936523,64181.65625,74358.65625,2.9476822818535977,2.543569610894678,33.481211465729324,32.910875735643216,0
9,1019,242354.8712903226,174410.52911854102,18.90847619188084,16.50005631061468,27.422502517700195,16.684715270996094,84.02,86.898,24.97646141052246,18.51291275024414,108206.3515625,119297.21875,2.9476822818535977,2.543569610894678,33.481211465729324,32.910875735643216,0
