,FIPS,GROCPTH11,GROCPTH16,SUPERCPTH11,SUPERCPTH16,CONVSPTH11,CONVSPTH16,SNAPSPTH12,SNAPSPTH17,WICSPTH11,WICSPTH16
3010,54035,0.068252397,0.102838338,0.0341262,0.0342794,0.750776371,0.651309475,1.2285922783973,1.2395315663537638,0.17055532336235046,0.1370754987001419
3011,54037,0.147351359,0.107434465,0.0184189,0.0179057,0.405216238,0.411832116,0.6696756201379716,0.7381045357189344,0.12856067717075348,0.12505583465099335
3012,54039,0.192627069,0.166579794,0.0208245,0.0214942,0.515407562,0.456751049,1.1382617247461995,1.1020606351579165,0.17173457145690918,0.14503496885299683
3013,54041,0.243368216,0.184139455,0.0,0.122759637,0.973472864,1.043456911,1.684889947671696,1.3353054768067711,0.18250395357608795,0.12282748520374298
3014,54043,0.324449594,0.331816458,0.0,0.0,0.463499421,0.379218809,1.4179806106564325,1.2645058023209284,0.32461509108543396,0.3789314031600952
3015,54045,0.329254239,0.3269528,0.0274379,0.029723,0.713384185,0.6539056,1.550634078006341,1.5920020248038471,0.2468729466199875,0.23760730028152466
3016,54047,0.322194606,0.365745337,0.0460278,0.0,0.920556016,0.992737343,2.1257307199349773,1.8557650628521891,0.5522065162658691,0.36473530530929565
3017,54049,0.15887306,0.159356906,0.0176526,0.0177063,0.617839679,0.619721302,1.1188938682851666,1.1108744401251989,0.1588141918182373,0.1239003837108612
3018,54051,0.182348651,0.157703832,0.0303914,0.0315408,0.486263068,0.473111497,0.7447307747240416,0.7988671582772255,0.1823154091835022,0.0630994439125061
3019,54053,0.146573837,0.074324575,0.0366435,0.0371623,0.403078051,0.631758891,1.0271410525283,1.0198624429436713,0.1464557647705078,0.11140819638967514
3020,54055,0.191993856,0.148775085,0.0159995,0.0165306,0.575981569,0.628161471,1.160906119881217,1.1603322566788836,0.22379948198795319,0.18147921562194824
3021,54057,0.142704245,0.256203792,0.0356761,0.0366005,0.463788798,0.4392065,1.0731148948347404,1.2030710454779223,0.14271442592144012,0.146273672580719
3022,54059,0.18820341,0.162094258,0.0,0.0,0.526969549,0.648377031,1.130138298279891,1.0949005954601347,0.3383331596851349,0.20224082469940186
3023,54061,0.121619978,0.152714014,0.04054,0.0286339,0.476344914,0.400874288,0.6528325957820038,0.6942460884191817,0.12119865417480469,0.10403662174940109
3024,54063,0.147601476,0.222601469,0.0,0.0,0.442804428,0.445202938,0.8541929733343238,0.777247177038253,0.36900368332862854,0.0741179957985878
3025,54065,0.114711787,0.227492464,0.0,0.0,0.401491253,0.341238696,0.8204071508976781,0.8952467111462927,0.0572672076523304,0.05674724653363228
3026,54067,0.190832411,0.237238543,0.0381665,0.0395398,1.030495019,0.751255387,1.5631552861336688,1.7536503879993082,0.1907377690076828,0.15761683881282806
3027,54069,0.271542361,0.281703366,0.0226285,0.0234753,0.656227371,0.469505611,0.7922102476838723,0.9595178620990444,0.20352321863174438,0.21094079315662384
3028,54071,0.132696391,0.286245885,0.0,0.0,0.928874735,1.001860598,1.5419860780685521,1.5604154755098152,0.2653927803039551,0.14330753684043884
3029,54073,0.131995776,0.133120341,0.0,0.0,0.395987328,0.399361022,1.174017994294492,0.7987220447284346,0.2640612721443176,0.2670940160751343
3030,54075,0.566829158,0.469593801,0.0,0.0,0.680194989,0.939187603,1.8024236846142048,1.5373699148533586,0.5666364431381226,0.46904316544532776
3031,54077,0.148539853,0.118655632,0.029708,0.0296639,0.653575354,0.771261606,1.0493024355639629,1.0614923245939603,0.14853985607624054,0.1184728816151619
3032,54079,0.142773009,0.158752558,0.0178466,0.0352783,0.553245409,0.546814365,1.1089453944065444,1.0667582288585244,0.12492860853672028,0.08821453899145126
3033,54081,0.189219533,0.170471682,0.0378439,0.0393396,0.681190317,0.60320749,1.2865778295221102,1.3107266312992631,0.13865429162979126,0.1310787796974182
3034,54083,0.237901033,0.172640011,0.0339859,0.034528,0.747688961,0.656032042,1.3669570741446593,1.2738115916854842,0.2718314528465271,0.1722474843263626
3035,54085,0.387935215,0.301750151,0.0,0.0,0.872854233,0.301750151,1.8561938257131692,1.8842507332378418,0.1939864158630371,0.10036130249500275
3036,54087,0.270288533,0.212344281,0.067572133,0.070781427,0.540577066,0.424688562,1.0215200217924272,1.1452918417242282,0.2702702581882477,0.21260009706020355
3037,54089,0.144331385,0.153798831,0.0,0.0,0.721656924,0.538295909,1.3224624493460484,1.115985530670361,0.14434179663658142,0.07707129418849945
3038,54091,0.118147448,0.118014988,0.0590737,0.0590075,0.29536862,0.29503747,0.8435838581209659,1.0385902736759207,0.1772211790084839,0.176959827542305
3039,54093,0.280622983,0.426075841,0.0,0.0,0.561245966,0.710126402,1.2508934953538242,1.6148469510725476,0.28058362007141113,0.28360748291015625
3040,54095,0.43956044,0.223264121,0.0,0.0,0.769230769,0.669792364,0.8207000848364132,1.1085844229675952,0.2193222939968109,0.22338880598545074
3041,54097,0.206075094,0.162535555,0.041215,0.0,0.535795244,0.650142219,1.1439310373003226,1.1036174126302882,0.2060411274433136,0.202626034617424
3042,54099,0.142321742,0.17207473,0.0237203,0.0245821,0.616727549,0.516224189,1.0784572658807334,1.0210943142480013,0.1896633505821228,0.22111935913562775
3043,54101,0.438404209,0.349854227,0.0,0.0,0.438404209,0.816326531,1.38228464005308,1.3537187450230928,0.43845227360725403,0.35059016942977905
3044,54103,0.366278005,0.447541717,0.0610463,0.063934531,0.549417008,0.63934531,1.568018511752527,1.5331130832847486,0.30543676018714905,0.2557544708251953
3045,54105,0.347523892,0.519930676,0.0,0.0,0.695047785,0.346620451,0.8551393877201984,1.0355540214014498,0.34752389788627625,0.3468007743358612
3046,54107,0.172681748,0.128327772,0.0345363,0.0349985,0.541069476,0.51331109,1.0640015686093587,0.9801732781851225,0.13812950253486633,0.11668747663497925
3047,54109,0.255808996,0.183882683,0.0,0.0,0.810061821,0.781501402,1.7581174178948427,1.7012415527267013,0.21317416429519653,0.2296738624572754
3048,55001,0.0481278,0.0500075,0.0,0.0,0.336894793,0.400060009,0.3344778116285443,0.42974682488025495,0.09628809243440628,0.10014521330595016
3049,55003,0.499219969,0.383778943,0.0624025,0.063963157,0.748829953,0.831521044,0.9431799232949808,1.1075268817204302,0.436817467212677,0.44762757420539856
