,FIPS,FFRPTH11,FFRPTH16,FSRPTH11,FSRPTH16,PC_FFRSALES07,PC_FFRSALES12,PC_FSRSALES07,PC_FSRSALES12
0,1001,0.615953188,0.7959767,0.579720647,0.560801766,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
1,1003,0.648675309,0.751774622,1.15796584,1.137300069,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
2,1005,0.694672955,0.892372158,0.621549486,0.543183053,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
3,1007,0.26379424,0.309282905,0.219828534,0.309282905,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
4,1009,0.347451444,0.39956916,0.260588583,0.208470866,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
5,1011,0.37470726,0.2873288,0.18735363,0.095776267,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
6,1013,0.814176245,0.901577761,0.670498084,0.450788881,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
7,1015,0.772594133,0.826230649,0.662223543,0.652287354,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
8,1017,0.675854368,0.860100246,0.528929505,0.533855325,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
9,1019,0.654022237,0.58216254,0.269303274,0.465730032,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
10,1021,0.480681194,0.501939311,0.480681194,0.524754734,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
11,1023,0.440949511,0.459770115,0.440949511,0.536398467,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
12,1025,0.938159643,1.026694045,0.508169807,0.533880903,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
13,1027,0.292226768,0.298284862,0.438340152,0.596569724,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
14,1029,0.535905681,0.336179654,0.20096463,0.134471862,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
15,1031,0.71380418,0.780990687,0.416385772,0.605267782,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
16,1033,0.880184839,0.97557384,0.568452708,0.662653929,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
17,1035,0.227496777,0.559328805,0.379161295,0.239712345,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
