,FIPS,FMRKTPTH13,FMRKTPTH18,FOODHUB18
2172,40083.0,0.0,0.0,
2173,40085.0,0.0,0.0,
2174,40087.0,0.05484109744429588,0.050018757581710815,
2175,40089.0,0.06025003641843796,0.06115647032856941,
2176,40091.0,0.04972897842526436,0.05046681687235832,
2177,40093.0,0.0,0.0,
2178,40095.0,0.0,0.0,
2179,40097.0,0.024414658546447754,0.024326756596565247,
2180,40099.0,0.0,0.0,
2181,40101.0,0.014246637932956219,0.014628009870648384,
2182,40103.0,0.08765778690576553,0.08858180791139603,
2183,40105.0,0.09484966099262238,0.19573302567005157,
2184,40107.0,0.0,0.0,
2185,40109.0,0.017181312665343285,0.01514038909226656,2.0
2186,40111.0,0.0,0.02608582191169262,
2187,40113.0,0.0,0.0,
2188,40115.0,0.0,0.06415396928787231,
2189,40117.0,0.0,0.0,
2190,40119.0,0.050186317414045334,0.04875670373439789,
2191,40121.0,0.0,0.022790983319282532,
2192,40123.0,0.02619309537112713,0.02614584192633629,
2193,40125.0,0.028205959126353264,0.027518264949321747,
2194,40127.0,0.0,0.0,
2195,40129.0,0.0,0.0,
2196,40131.0,0.0,0.0,
2197,40133.0,0.0,0.0,
2198,40135.0,0.0,0.0,
2199,40137.0,0.0,0.0,
2200,40139.0,0.0,0.0,
2201,40141.0,0.0,0.0,
2202,40143.0,0.01602119952440262,0.01696588285267353,
2203,40145.0,0.013217023573815823,0.012482835911214352,
2204,40147.0,0.019359959289431572,0.019289007410407066,
2205,40149.0,0.0,0.0,
2206,40151.0,0.11128421872854233,0.1123974397778511,
2207,40153.0,0.09415752440690994,0.04945109412074089,
2208,41001.0,0.06244146078824997,0.06247657164931297,
2209,41003.0,0.023210473358631134,0.02171529084444046,
2210,41005.0,0.0438816137611866,0.04085801914334297,
2211,41007.0,0.13475273549556732,0.10059349983930588,
2212,41009.0,0.020298385992646217,0.038184698671102524,
2213,41011.0,0.04809233546257019,0.04659181088209152,
2214,41013.0,0.04830917716026306,0.041898857802152634,
2215,41015.0,0.1349831223487854,0.08766931295394897,
2216,41017.0,0.01814947836101055,0.01041688397526741,
2217,41019.0,0.056282538920640945,0.05440548434853554,
2218,41021.0,0.5146680474281311,0.5279831290245056,
2219,41023.0,0.2751031517982483,0.27870678901672363,
2220,41025.0,0.13966479897499084,0.13644425570964813,1.0
2221,41027.0,0.17703814804553986,0.17073586583137512,
2222,41029.0,0.043441955000162125,0.040990326553583145,
2223,41031.0,0.04572264477610588,0.041335977613925934,
2224,41033.0,0.04812377318739891,0.03432769328355789,
2225,41035.0,0.07612435519695282,0.05912524089217186,
2226,41037.0,0.2565089166164398,0.25383931398391724,
2227,41039.0,0.045006271451711655,0.03424558416008949,2.0
2228,41041.0,0.129525288939476,0.12148699909448624,
2229,41043.0,0.033779218792915344,0.03141320124268532,
2230,41045.0,0.06524647027254105,0.06509356945753098,
2231,41047.0,0.03420663997530937,0.028829410672187805,
2232,41049.0,0.0,0.0,
2233,41051.0,0.03391382470726967,0.03325614705681801,
2234,41053.0,0.02612125501036644,0.023464813828468323,
2235,41055.0,0.0,1.1709601879119873,
2236,41057.0,0.15782205760478973,0.1493261605501175,
2237,41059.0,0.06502711772918701,0.06450281292200089,
2238,41061.0,0.039180345833301544,0.03779146820306778,
2239,41063.0,0.738661527633667,0.4236689805984497,
2240,41065.0,0.118445985019207,0.11318618804216385,
2241,41067.0,0.023406343534588814,0.023423317819833755,1.0
2242,41069.0,0.0,0.0,1.0
2243,41071.0,0.040049660950899124,0.03738247975707054,
2244,42001.0,0.039552267640829086,0.019453171640634537,
2245,42003.0,0.01702182926237583,0.019697124138474464,2.0
2246,42005.0,0.0,0.0,
2247,42007.0,0.023565037176012993,0.02428038977086544,
2248,42009.0,0.020283153280615807,0.04151444882154465,
2249,42011.0,0.014495029114186764,0.011900454759597778,
2250,42013.0,0.03973457217216492,0.040818993002176285,
2251,42015.0,0.01599692925810814,0.0,
2252,42017.0,0.011198942549526691,0.017510486766695976,
2253,42019.0,0.010806312784552574,0.010644638910889626,
2254,42021.0,0.03602149710059166,0.030365141108632088,
2255,42023.0,0.0,0.0,
2256,42025.0,0.03098517283797264,0.0155697762966156,
2257,42027.0,0.07584040611982346,0.07370781153440475,
2258,42029.0,0.019640307873487473,0.02681756019592285,
2259,42031.0,0.025588536635041237,0.025787152349948883,1.0
2260,42033.0,0.024559464305639267,0.03778908774256706,
2261,42035.0,0.05022980272769928,0.025850480422377586,
2262,42037.0,0.02976190485060215,0.0305548757314682,
2263,42039.0,0.03428453952074051,0.03526797890663147,
2264,42041.0,0.03318524360656738,0.03181888535618782,
2265,42043.0,0.025788482278585434,0.02165306732058525,2.0
2266,42045.0,0.008904275484383106,0.01062415074557066,
2267,42047.0,0.0,0.0,
2268,42049.0,0.017811087891459465,0.025729523971676826,
2269,42051.0,0.04458115994930267,0.04599780589342117,
2270,42053.0,0.13257324695587158,0.13738150894641876,
2271,42055.0,0.01974489539861679,0.01291697658598423,
2272,42057.0,0.06839945167303085,0.13771259784698486,
2273,42059.0,0.052826203405857086,0.05478551611304283,
2274,42061.0,0.04362716153264046,0.04427913576364517,1.0
2275,42063.0,0.011345328763127327,0.023668358102440834,
2276,42065.0,0.022283626720309258,0.022914232686161995,
2277,42067.0,0.0,0.0,1.0
2278,42069.0,0.02806978113949299,0.033207934349775314,
2279,42071.0,0.0245270524173975,0.023916535079479218,
2280,42073.0,0.04482144117355347,0.05801540985703468,
2281,42075.0,0.029458986595273018,0.021229319274425507,
2282,42077.0,0.016883525997400284,0.016299918293952942,
2283,42079.0,0.009385823272168636,0.00944447610527277,
2284,42081.0,0.042879071086645126,0.04398930072784424,
2285,42083.0,0.046722423285245895,0.0,
2286,42085.0,0.026056820526719093,0.036139246076345444,
2287,42087.0,0.08578352630138397,0.06490416079759598,
2288,42089.0,0.017924359068274498,0.023597845807671547,
2289,42091.0,0.02091882936656475,0.01689588837325573,
2290,42093.0,0.0,0.0,
2291,42095.0,0.020069776102900505,0.02296535111963749,
2292,42097.0,0.021300161257386208,0.021957993507385254,
2293,42099.0,0.0,0.0,
2294,42101.0,0.02951800264418125,0.03156290575861931,4.0
2295,42103.0,0.0,0.01787853240966797,
2296,42105.0,0.057296738028526306,0.12032246589660645,
2297,42107.0,0.020454777404665947,0.021116796880960464,
