,FIPS,County,State,2010_Census_Population,Population_Estimate_2011,Population_Estimate_2012,Population_Estimate_2013,Population_Estimate_2014,Population_Estimate_2015,Population_Estimate_2016,Population_Estimate_2017,Population_Estimate_2018
71,2060,Bristol Bay Borough, Alaska,997,1030,980,952,949,905,903,870,877
72,2068,Denali Borough, Alaska,1826,1872,1908,1942,1915,1927,2039,2066,2059
73,2070,Dillingham Census Area, Alaska,4847,4948,4951,4979,4983,4987,4970,4935,5000
74,2090,Fairbanks North Star Borough, Alaska,97581,98104,100305,100928,99256,99630,100683,99725,98971
75,2100,Haines Borough, Alaska,2508,2573,2577,2558,2555,2516,2527,2518,2474
76,2105,Hoonah-Angoon Census Area, Alaska,2150,2090,2120,2121,2103,2137,2128,2139,2151
77,2110,Juneau City and Borough, Alaska,31275,32152,32378,32587,32476,32601,32400,32061,32113
78,2122,Kenai Peninsula Borough, Alaska,55400,56302,56906,57015,57565,58029,58452,58522,58533
79,2130,Ketchikan Gateway Borough, Alaska,13477,13665,13723,13716,13801,13706,13714,13882,13918
80,2150,Kodiak Island Borough, Alaska,13592,13806,14038,14089,13904,13766,13710,13519,13345
81,2158,Kusilvak Census Area, Alaska,7459,7648,7791,7972,8098,8187,8174,8230,8303
82,2164,Lake and Peninsula Borough, Alaska,1631,1648,1647,1665,1645,1592,1598,1607,1587
83,2170,Matanuska-Susitna Borough, Alaska,88995,91716,93670,95877,98104,101068,104157,106383,107610
84,2180,Nome Census Area, Alaska,9492,9775,9819,9845,9803,9885,9961,9968,10008
85,2185,North Slope Borough, Alaska,9430,9550,9692,9786,9769,9795,9718,9831,9872
86,2188,Northwest Arctic Borough, Alaska,7523,7705,7707,7725,7771,7771,7689,7767,7671
87,2195,Petersburg Borough, Alaska,3815,3254,3278,3293,3265,3259,3270,3259,3221
88,2198,Prince of Wales-Hyder Census Area, Alaska,5559,6374,6421,6443,6460,6505,6516,6469,6422
89,2220,Sitka City and Borough, Alaska,8881,8886,9019,8973,8839,8778,8738,8686,8647
90,2230,Skagway Municipality, Alaska,968,962,999,1025,1053,1087,1132,1162,1148
91,2240,Southeast Fairbanks Census Area, Alaska,7029,7148,7170,6984,6922,6804,6849,6885,6918
92,2261,Valdez-Cordova Census Area, Alaska,9636,9738,9730,9776,9475,9322,9318,9224,9164
93,2275,Wrangell City and Borough, Alaska,2369,2395,2425,2455,2447,2459,2501,2511,2503
94,2282,Yakutat City and Borough, Alaska,662,656,664,651,655,635,613,607,604
95,2290,Yukon-Koyukuk Census Area, Alaska,5588,5631,5624,5564,5464,5466,5423,5396,5327
96,4001,Apache County, Arizona,71518,72186,72238,72341,71820,71022,71403,71545,71818
97,4003,Cochise County, Arizona,131346,133111,132026,129608,127352,126502,125782,124990,126770
98,4005,Coconino County, Arizona,134421,134269,136152,136713,137583,139024,140515,141107,142854
99,4007,Gila County, Arizona,53597,53444,53003,53022,53070,53006,53404,53629,53889
100,4009,Graham County, Arizona,37220,37134,37024,37454,38124,37873,37823,37501,38072
101,4011,Greenlee County, Arizona,8437,8577,8756,8908,9341,9575,9651,9468,9483
102,4012,La Paz County, Arizona,20489,20608,20530,20532,20529,20483,20661,20735,21098
103,4013,Maricopa County, Arizona,3817117,3875065,3948225,4019019,4095508,4175049,4258603,4329580,4410824
104,4015,Mohave County, Arizona,200186,202801,203356,203158,203474,204661,205521,207114,209550
105,4017,Navajo County, Arizona,107449,107545,107314,107145,107724,107688,108523,109144,110445
106,4019,Pima County, Arizona,980263,988407,993215,997437,1004675,1009737,1017624,1027502,1039073
107,4021,Pinal County, Arizona,375770,378760,382828,385656,395915,406073,417363,432114,447138
108,4023,Santa Cruz County, Arizona,47420,47684,47396,46991,46703,46602,46468,46636,46511
109,4025,Yavapai County, Arizona,211033,211023,211977,214426,217739,220845,224591,228055,231993
110,4027,Yuma County, Arizona,195751,202883,202589,202589,204283,205456,207520,209756,212128
111,5001,Arkansas County, Arkansas,19019,18872,18962,18754,18476,18325,18145,17904,17769
112,5003,Ashley County, Arkansas,21853,21671,21516,21278,20959,20838,20525,20319,20046
113,5005,Baxter County, Arkansas,41513,41347,41082,40984,40884,41136,41139,41316,41619
114,5007,Benton County, Arkansas,221339,229154,234949,239485,244882,251673,259234,266504,272608
115,5009,Boone County, Arkansas,36903,37070,37317,37312,37102,37112,37260,37486,37480
116,5011,Bradley County, Arkansas,11508,11437,11273,11129,11016,11007,10967,10853,10897
117,5013,Calhoun County, Arkansas,5368,5243,5278,5193,5168,5201,5142,5224,5277
118,5015,Carroll County, Arkansas,27446,27462,27621,27792,27735,27775,27753,27947,28223
119,5017,Chicot County, Arkansas,11800,11704,11501,11360,11202,10960,10892,10639,10438
120,5019,Clark County, Arkansas,22995,22927,22759,22588,22565,22517,22600,22180,22061
121,5021,Clay County, Arkansas,16083,15874,15708,15482,15297,15200,15051,14910,14847
122,5023,Cleburne County, Arkansas,25970,25890,25776,25641,25605,25361,25174,25046,24965
