"fips","redemp_snaps","pct_snap","pc_snapben","snap_part_rate","pc_wic_redemp","redemp_wics","pct_wic","pct_wicinfantchild","food_banks","foodinsec__","vlfoodsec__","fmrktpth","pct_diabetes_adults","pct_obese_adults","pct_hspa","recfacpth","medhhinc","povrate","perpov","childpovrate","perchldpov","metro","census_population","population_estimate","pct_laccess_pop","pct_laccess_lowi","pct_laccess_hhnv","pct_laccess_snap","grocpth","supercpth","convspth","snapspth","wicspth","ffrpth","fsrpth","pc_ffrsales","pc_fsrsales"
"2016.0","92417.0713846154","12.26899474286179","5.582592725753784","75.1525","7.28776216506958","9859.97314453125","2.937568421453688","26.757116688561233","0.0","11.8","4.0","0.08736676722764965","6.050000000000001","29.950000000000003","18.40000000000001","0.0","80695.0","8.5","0.0","8.5","0.0","0.0","5561.0","5722.875","18.051660068075183","8.053843048013855","10.228450002370831","2.947771134584703","0.616488057","0.0","0.265988848","0.820833318083404","0.6216089725494385","0.178986934","0.5269945899999999","547.0981490162595","706.446537941665"
"2020.0","523489.6520822059","12.26899474286179","16.11662721633911","75.1525","17.56587839126587","217042.0859375","2.937568421453688","26.757116688561233","1.0","11.8","4.0","0.02877234481275075","7.0","29.950000000000003","18.40000000000001","0.1330439715","77791.0","8.7","0.0","12.4","0.0","1.0","291826.0","297012.5","28.78753114282115","4.842836872151419","0.9457206715778421","1.321402546367989","0.10948627699999999","0.0370456","0.187001837","0.39409858880304344","0.08089413866400715","0.688919163","0.7899308465","547.0981490162595","706.446537941665"
"2050.0","405029.880004697","12.26899474286179","97.7356185913086","75.1525","54.02970314025879","58455.2890625","2.937568421453688","26.757116688561233","0.0","11.8","4.0","0.0","5.65","29.950000000000003","18.40000000000001","0.0278087","44849.0","24.2","0.0","31.5","1.0","0.0","17013.0","17889.75","72.81936939109946","40.27869117499996","57.193042002975176","28.74175155734981","1.2999119115","0.0","0.311298779","3.025797786341271","0.9339855909347534","0.367816688","0.3391074555","547.0981490162595","706.446537941665"
"2070.0","400182.63618055556","12.26899474286179","64.69352722167969","75.1525","81.95877075195312","75344.5703125","2.937568421453688","26.757116688561233","0.0","11.8","4.0","0.20042177289724344","7.5","29.950000000000003","18.40000000000001","0.0","50753.0","20.0","0.0","30.4","1.0","0.0","4847.0","4969.125","41.676236518017745","24.355532547705703","30.724430996786115","18.60862333199584","1.0082348385","0.0","0.3025841745","1.704951343032827","0.9081164598464966","0.2015332445","0.504117419","547.0981490162595","706.446537941665"
"2090.0","595041.4679449778","12.26899474286179","11.180426120758057","75.1525","20.980843544006348","260042.53125","2.937568421453688","26.757116688561233","1.0","11.8","4.0","0.0300180353224277","5.35","29.950000000000003","18.40000000000001","0.09530575299999999","70881.0","8.1","0.0","10.1","0.0","1.0","97581.0","99700.25","35.796630819917866","8.627467715015372","2.707727681669491","1.5844995643662163","0.075550323","0.0351652","0.2313712685","0.25379682031064416","0.0805017091333866","0.4377672455","0.6384438020000001","547.0981490162595","706.446537941665"
"2110.0","507630.8835179325","12.26899474286179","15.672216415405273","75.1525","9.813596725463867","63290.26171875","2.937568421453688","26.757116688561233","1.0","11.8","4.0","0.03114003688097","5.6","29.950000000000003","18.40000000000001","0.216715522","82892.0","8.0","0.0","10.1","0.0","0.0","31275.0","32346.0","32.295493159397765","6.020449299541648","2.769343243937811","2.1491849623478543","0.1549966515","0.0929280435","0.185739508","0.3891665013418586","0.15491615235805506","0.789596922","0.913617559","547.0981490162595","706.446537941665"
"2122.0","297346.6292586761","12.26899474286179","15.37960147857666","75.1525","14.828146934509277","77069.216796875","2.937568421453688","26.757116688561233","1.0","11.8","4.0","0.09510124847292895","6.75","29.950000000000003","18.40000000000001","0.1482491195","62025.0","11.4","0.0","14.0","0.0","0.0","55400.0","57665.5","20.01667269267076","5.871324081424838","3.629246426357538","1.5367448457955508","0.3139193335","0.034842200000000004","0.3313404285","0.6108237262975239","0.19178176671266556","0.6688441565000001","1.1931751560000001","547.0981490162595","706.446537941665"
"2170.0","505308.0715773027","12.26899474286179","17.202604293823242","75.1525","14.192623615264893","195479.09375","2.937568421453688","26.757116688561233","0.0","11.8","4.0","0.06902996450662605","7.0","29.950000000000003","18.40000000000001","0.07177329099999999","76601.0","9.8","0.0","11.8","0.0","1.0","1631.0","1623.625","24.409788996037978","6.6983697968226465","2.4520393981880546","3.236360390019985","0.11343590149999999","0.03076","0.190660507","0.377791174826411","0.0724155660718679","0.3745710975","0.5100691605000001","547.0981490162595","706.446537941665"
"2180.0","384138.321545872","12.26899474286179","87.23883056640625","75.1525","74.69458770751953","43526.39453125","2.937568421453688","26.757116688561233","0.0","11.8","4.0","0.0","6.55","29.950000000000003","18.40000000000001","0.0","52952.0","21.4","0.0","27.6","0.0","0.0","88995.0","99823.125","54.477848052173144","37.0312900433247","44.8808904389778","24.72159454520121","1.725407653","0.0","0.152730434","2.6971725140968674","1.7248034477233887","0.203881329","0.7600409100000001","547.0981490162595","706.446537941665"
"2185.0","272406.7097552448","12.26899474286179","27.781474113464355","75.1525","49.65688896179199","68972.7265625","2.937568421453688","26.757116688561233","0.0","11.8","4.0","0.0","6.8","29.950000000000003","18.40000000000001","0.10398773","70834.0","12.6","0.0","17.6","0.0","0.0","9492.0","9883.0","48.51970315944915","8.508274619712106","22.09651644341868","6.762898884082011","0.936624847","0.0","0.20797545950000002","1.2831760623141397","0.72755366563797","0.31196319","0.5206739275","547.0981490162595","706.446537941665"
"2188.0","328372.4236521181","12.26899474286179","83.94528198242188","75.1525","126.8641471862793","75112.125","2.937568421453688","26.757116688561233","0.0","11.8","4.0","0.0","6.55","29.950000000000003","18.40000000000001","0.0","53774.0","26.3","0.0","34.9","0.0","0.0","9430.0","9751.625","57.45314376514862","33.19368545746451","43.45721336410633","23.92145087787796","0.9763073905","0.0","0.325193006","2.5503299004666395","1.6889715194702148","0.2606642655","0.065257113","547.0981490162595","706.446537941665"
"2198.0","255922.8574468085","12.26899474286179","30.067131996154785","75.1525","24.93939590454102","40106.173828125","2.937568421453688","26.757116688561233","0.0","11.8","4.0","0.0","7.3","29.950000000000003","18.40000000000001","0.0","45305.0","15.6","0.0","23.8","0.0","0.0","3815.0","3262.375","28.326788427399528","11.301556469299873","8.574116984333205","7.147269446673382","0.0","0.0","0.0","0.8362481799947263","0.620711475610733","0.0","0.0","547.0981490162596","706.4465379416649"
"2261.0","78815.44770497673","12.26899474286179","15.41281795501709","75.1525","14.64961051940918","30255.9140625","2.937568421453688","26.757116688561233","0.0","11.8","4.0","0.31712096929550165","6.800000000000001","29.950000000000003","18.40000000000001","0.209714708","70101.0","9.5","0.0","12.2","0.0","0.0","7029.0","6960.0","39.977100553769404","13.089647375001348","4.962145953537759","4.464601120134644","0.7875346685","0.0","0.7875346685","1.608397120436942","0.4713645726442337","0.7853256415000001","1.519327119","547.0981490162595","706.446537941665"
