FIPS,GROCPTH11,GROCPTH16,PCH_GROCPTH_11_16
1001,0.090581351,0.0542711,-40.0857484
1003,0.14474573,0.139752975,-3.449328302
1005,0.219370407,0.155195158,-29.25428727
1007,0.26379424,0.220916361,-16.25428946
1009,0.121608005,0.086862861,-28.57142857
1011,0.18735363,0.2873288,53.36174696
1013,0.143678161,0.15026296,4.583020285
1015,0.20376109,0.234823448,15.24449904
1017,0.23507978,0.207610404,-11.68512916
1019,0.153887585,0.19405418,26.10125747
1021,0.160227065,0.114077116,-28.80284215
1023,0.220474756,0.229885057,4.268199234
1025,0.195449926,0.246406571,26.07145791
1027,0.219170076,0.223713647,2.073079791
1029,0.20096463,0.134471862,-33.08680159
1031,0.099139469,0.13667337,37.85969502
1033,0.183371841,0.147256429,-19.69517919
1035,0.379161295,0.079904115,-78.92608869
1037,0.0,0.092515496,
1039,0.236736197,0.160487883,-32.20813495
1041,0.431716794,0.287624937,-33.37647707
1043,0.161669423,0.182211317,12.70610903
1045,0.159658331,0.121881856,-23.66082311
1047,0.184945441,0.199595818,7.921459045
1049,0.196207588,0.224668614,14.50556857
1051,0.087493438,0.098473658,12.54976437
1053,0.15705984,0.106734977,-32.04184011
1055,0.162907028,0.136284874,-16.34193073
1057,0.410557185,0.241867215,-41.08805694
1059,0.188875248,0.316686196,67.66950629
1061,0.411061286,0.377130789,-8.254364432
1063,0.224542495,0.235626767,4.936380773
1065,0.325563224,0.134707348,-58.6232909
1067,0.172651934,0.117013808,-32.22560262
1069,0.156146309,0.163190078,4.511005731
1071,0.206720289,0.211339315,2.234432938
1073,0.155064922,0.162183382,4.590632291
1075,0.279974802,0.286758907,2.423112768
1077,0.205176938,0.205808122,0.307628982
1079,0.17622698,0.090274434,-48.77377227
1081,0.090204487,0.113219652,25.51443575
1083,0.151993453,0.107619458,-29.19467532
1085,0.179694519,0.195293428,8.680792891
1087,0.234918248,0.209731544,-10.72147651
1089,0.111923044,0.129100339,15.34741581
1091,0.242142477,0.153806716,-36.48090233
1093,0.195758564,0.100260678,-48.78350378
1095,0.234316754,0.231474175,-1.213135107
1097,0.142776939,0.134987899,-5.455390503
1099,0.263157895,0.23178194,-11.92286297
1101,0.152730383,0.14996736,-1.80908525
1103,0.158324098,0.151490923,-4.315940965
1105,0.38197097,0.313479624,-17.93103448
1107,0.206675623,0.246123554,19.08688162
1109,0.242666909,0.210748156,-13.15331928
1111,0.175901495,0.133345186,-24.19326162
1113,0.145897543,0.206267081,41.37803599
1115,0.142499198,0.160032921,12.30443596
1117,0.141496324,0.123180132,-12.94464136
1119,0.370617449,0.154655119,-58.27095577
1121,0.13448748,0.099519817,-26.00068307
1123,0.144948543,0.147877951,2.020998669
1125,0.137265568,0.121193318,-11.70887246
1127,0.150202022,0.154892272,3.122628212
1129,0.172860847,0.180223477,4.259281509
1131,0.786713287,0.643678161,-18.18135377
1133,0.36954915,0.251182652,-32.02997446
2013,1.22624157,1.203369434,-1.865222623
2016,0.536960802,0.696015312,29.62125167
2020,0.108001931,0.110970623,2.748740231
2050,1.320624713,1.27919911,-3.136818687
2060,2.912621359,2.209944751,-24.1252302
2068,0.0,0.488997555,
2070,1.212611156,0.803858521,-33.70846731
2090,0.081519524,0.069581122,-14.64483808
2100,1.165501166,1.185302252,1.698933228
2105,0.0,0.0,0.0
2110,0.186555562,0.123437741,-33.83325619
2122,0.337453822,0.290384845,-13.94827194
2130,0.219876869,0.291396518,32.5271363
2150,0.361794501,0.365523796,1.030777104
2164,0.0,1.248439451,
2170,0.130831543,0.09604026,-26.59242755
2180,1.534526854,1.916288452,24.87813078
2185,1.047230076,0.826019618,-21.12338668
2188,0.908500973,1.044113808,14.92709848
2195,0.0,0.0,0.0
2198,0.0,0.0,0.0
2220,0.337533753,0.45620438,35.15815085
2230,0.0,0.0,0.0
2240,0.559518814,0.584795322,4.51754386
2261,0.718538288,0.856531049,19.20464974
2270,0.0,0.0,0.0
2275,0.0,0.0,0.0
2282,3.048780488,3.267973856,7.189542484
2290,2.131060202,1.662971175,-21.96507761
4001,0.138544452,0.126098104,-8.983649279
4003,0.112822673,0.127637509,13.13108106
4005,0.126694539,0.142776576,12.6935515
4007,0.131032159,0.112576693,-14.08468448
4009,0.161620515,0.158868854,-1.702544549
4011,0.116699732,0.207835394,78.09414943
4012,0.340103003,0.292354919,-14.03930085
4013,0.12533511,0.110313666,-11.9850244
4015,0.108517114,0.082771381,-23.7250441
4017,0.148812292,0.12924429,-13.14945256
4019,0.116479641,0.120491566,3.444314539
