FIPS,FFRPTH11,FFRPTH16,PCH_FFRPTH_11_16
1001,0.615953188,0.7959767,29.22681718
1003,0.648675309,0.751774622,15.89382422
1005,0.694672955,0.892372158,28.45932049
1007,0.26379424,0.309282905,17.24399476
1009,0.347451444,0.39956916,15.0
1011,0.37470726,0.2873288,-23.31912652
1013,0.814176245,0.901577761,10.73496266
1015,0.772594133,0.826230649,6.942392275
1017,0.675854368,0.860100246,27.26118034
1019,0.654022237,0.58216254,-10.98734767
1021,0.480681194,0.501939311,4.42249818
1023,0.440949511,0.459770115,4.268199234
1025,0.938159643,1.026694045,9.437029432
1027,0.292226768,0.298284862,2.073079791
1029,0.535905681,0.336179654,-37.26887649
1031,0.71380418,0.780990687,9.412456368
1033,0.880184839,0.97557384,10.83738289
1035,0.227496777,0.559328805,145.8622986
1037,0.0,0.092515496,
1039,0.604992503,0.722195474,19.37263193
1041,0.287811196,0.575249874,99.87056878
1043,0.646677693,0.765287529,18.34141448
1045,0.638633325,0.710977492,11.3279663
1047,0.462363603,0.623736933,34.90182381
1049,0.54657828,0.561671534,2.761407693
1051,0.399970002,0.480059084,20.02377216
1053,0.602062719,0.747144839,24.09750936
1055,0.728290243,0.82744388,13.61457715
1057,0.879765396,0.786068448,-10.6502197
1059,0.535146536,0.538366533,0.601703772
1061,0.411061286,0.377130789,-8.254364432
1063,0.0,0.235626767,
1065,0.26045058,0.673536741,158.6044319
1067,0.575506446,0.76058975,32.16007489
1069,0.888082133,1.113532297,25.38618399
1071,0.563782605,0.61480528,9.050061801
1073,0.919747822,1.074654375,16.84228541
1075,0.349968503,0.430138361,22.90773532
1077,0.734317463,0.769072455,4.732965555
1079,0.528680941,0.451372171,-14.62295378
1081,0.742452313,0.9120472,22.84252928
1083,0.467672162,0.55962118,19.66099871
1085,0.08984726,0.097646714,8.680792891
1087,0.516820147,0.471895973,-8.692419158
1089,0.88360298,0.934574193,5.76856519
1091,0.677998935,0.922840297,36.11235214
1093,0.75040783,0.634984292,-15.38144102
1095,0.745553307,0.841724272,12.89927416
1097,0.621926666,0.665297504,6.973625698
1099,0.438596491,0.463563879,5.692564435
1101,0.763651914,0.961555426,25.91540833
1103,0.808286183,0.757454616,-6.288808161
1105,0.190985485,0.208986416,9.425287356
1107,0.310013434,0.344572976,11.14775617
1109,0.819000819,1.0236339,24.98569923
1111,0.395778364,0.444483954,12.30627908
1113,0.784199296,0.825068326,5.21156167
1115,0.546246927,0.628700761,15.09460828
1117,0.687267858,0.767506976,11.67508676
1119,0.518864428,0.618620476,19.22584066
1121,0.562402191,0.621998856,10.5968052
1123,0.628110354,0.56686548,-9.750655023
1125,0.79817386,0.828962294,3.857359448
1127,0.735989906,0.697015226,-5.29554552
1129,0.172860847,0.120148985,-30.49381233
1131,0.437062937,0.275862069,-36.88275862
1133,0.4927322,0.460501528,-6.541214887
2013,0.306560392,0.300842359,-1.865222623
2016,0.357973868,0.0,-100.0
2020,0.678387126,0.6994512,3.105022611
2050,0.40192926,0.333704116,-16.97441602
2060,0.0,0.0,0.0
2068,0.534759358,1.466992665,174.3276284
2070,0.202101859,0.20096463,-0.562700965
2090,0.438167441,0.43736705,-0.182667782
2100,0.388500389,0.395100751,1.698933228
2105,0.0,0.0,0.0
2110,0.715129656,0.864064188,20.82622784
2122,0.586104007,0.751584306,28.2339477
2130,0.513046028,0.801340424,56.19269635
2150,0.361794501,0.438628555,21.23693252
2164,0.0,0.0,0.0
2170,0.403397259,0.345744936,-14.29169919
2180,0.306905371,0.100857287,-67.13733401
2185,0.314169023,0.309757357,-1.404233351
2188,0.129785853,0.391542678,201.6836335
2195,0.0,0.0,0.0
2198,0.0,0.0,0.0
2220,0.337533753,0.45620438,35.15815085
2230,0.0,0.0,0.0
2240,0.699398517,0.438596491,-37.28947368
2261,0.821186615,0.749464668,-8.733940043
2270,0.0,0.0,0.0
2275,0.0,0.0,0.0
2282,0.0,0.0,0.0
2290,0.0,0.0,0.0
4001,0.221671123,0.168130806,-24.15304107
4003,0.518984295,0.462685972,-10.84778938
4005,0.916672256,0.913770087,-0.316598352
4007,0.617723035,0.600409029,-2.802875368
4009,0.53873505,0.397172134,-26.27690841
4011,0.116699732,0.311753092,167.1412242
4012,0.777378292,0.779613117,0.287482337
4013,0.685079127,0.721645077,5.337478378
4015,0.547518164,0.594006378,8.490716293
4017,0.539444558,0.572367571,6.10313185
4019,0.618861396,0.657765435,6.28638956
