FIPS,LACCESS_POP10,LACCESS_POP15,LACCESS_LOWI10,LACCESS_LOWI15,LACCESS_HHNV10,LACCESS_HHNV15
19029,3557.693775,3557.693775,1012.429611,1163.856154,96.96467339,102.7388577
19031,1953.272335,3724.597207,507.6159947,919.3197738,175.9219465,169.6382312
19033,7338.96078,7309.169177,2037.920268,1897.873466,132.0232969,167.1203949
19035,878.9599373,935.6885391,214.72168,220.722394,54.01809433,82.04435165
19037,1834.887234,1875.619626,759.6234732,609.4365321,112.8160675,144.2120288
19039,735.2496192,735.2496192,203.7193837,210.7995955,20.31445902,33.05818331
19041,1579.510574,1748.36402,314.3311986,472.6626278,124.6513511,88.12956243
19043,3343.596831,629.4000258,1297.360913,196.1859437,194.9494313,235.0397968
19045,10206.52595,10260.37971,3139.557524,3131.294928,332.3858037,247.5570402
19047,4551.524885,4536.458335,1377.473133,1575.837781,176.6244121,183.9440391
19049,3413.603551,3511.278226,570.8785367,804.0598417,194.6041629,296.8032344
19051,1161.746827,955.7337177,474.8775867,536.8910805,251.5126871,263.2891363
19053,919.4954215,833.2505695,357.7277917,347.4736281,52.81013953,137.2111596
19055,1552.079289,1556.493171,518.5049573,561.5474179,144.5812995,198.2668244
19057,9843.70257,11346.95258,2782.38836,3702.138489,235.1875743,352.9161262
19059,3426.672881,3316.516902,721.7253872,613.1176994,99.15480878,101.3272346
19061,18161.02833,18351.66634,4761.158815,5100.169298,657.918674,462.7541479
19063,2855.782294,2855.782294,711.2466616,935.6527808,42.17152595,49.80369734
19065,1167.722699,1137.317274,371.2983836,338.3996423,145.7721166,133.2770097
19067,3026.617091,3026.617091,782.8882971,778.7946624,132.7742099,175.6420212
19069,1929.921395,1827.581687,439.5786609,554.7447183,70.09045549,88.44259345
19071,3370.505154,5615.536059,1016.006634,1654.525778,116.7808168,130.9954342
19073,2330.005753,1224.593998,749.0867404,390.6168686,115.3314607,89.56848819
19075,1389.864865,1383.856584,281.4481422,306.5160235,115.3697338,104.2022901
19077,1228.955148,1234.581498,324.9346342,423.31756,103.7851845,58.18447449
19079,3650.020207,2824.339234,981.2677912,889.9376891,144.1346451,124.6674284
19081,1423.75077,1424.809007,513.8511487,512.5513185,91.53396775,58.62528644
19083,2566.478098,2542.41346,738.1320468,639.4291287,109.1152161,137.458374
19085,2674.35726,2657.995915,730.4363625,781.3176778,117.5191006,90.81333631
19087,5845.825944,6159.798947,2364.092228,2091.253835,278.0376234,232.4621427
19089,3734.817799,3524.871733,1080.740346,1160.817499,109.1944774,152.323898
19091,1715.163597,1458.025925,575.5482627,505.5980186,70.39612663,51.4715451
19093,75.2501586,75.2501586,24.58297102,25.17594214,29.06325777,32.85217378
19095,2053.903924,2590.726294,357.4758207,537.1538699,66.04962607,138.8881537
19097,4067.913246,4549.352777,1023.673602,1383.678298,167.1578915,182.4539914
19099,6078.21036,6166.542822,1506.890625,1445.777903,196.7821239,225.3245554
19101,2305.947231,2066.083094,733.6925757,668.9187364,100.3396971,131.9687204
19103,21904.4962,20182.36866,4866.060854,4369.704102,773.5147542,890.0815812
19105,2494.863452,3326.841321,975.9449091,1102.530812,144.5149559,138.3083
19107,2671.3683,2671.3683,881.3633262,882.6221685,118.6337194,112.1261086
19109,7179.35646,8277.392125,1770.773036,2314.773814,146.5735337,157.5402177
19111,4919.817292,7087.721951,1191.643194,2519.862401,239.3217519,442.4709969
19113,54382.42215,52422.68077,11231.18709,9731.387578,1423.758549,1320.628792
19115,137.0176494,129.7065212,41.50565103,36.55849906,88.02323626,147.7228646
19117,1927.621792,1927.621792,751.8796114,726.9873143,156.3671021,158.2198476
19119,1865.014214,1299.031021,559.8043305,372.1766001,46.81291152,96.05433585
