FIPS,PCT_DIABETES_ADULTS08,PCT_DIABETES_ADULTS13,PCT_OBESE_ADULTS12,PCT_OBESE_ADULTS17
5109,11.0,12.4,34.5,35.0
5111,11.9,13.8,34.5,35.0
5113,10.7,13.9,34.5,35.0
5115,9.6,11.2,34.5,35.0
5117,11.1,14.3,34.5,35.0
5119,10.0,12.0,34.5,35.0
5121,11.4,12.7,34.5,35.0
5123,12.9,16.4,34.5,35.0
5125,9.6,11.8,34.5,35.0
5127,10.9,11.4,34.5,35.0
5129,12.5,13.4,34.5,35.0
5131,10.1,12.9,34.5,35.0
5133,12.1,12.2,34.5,35.0
5135,11.2,15.2,34.5,35.0
5137,11.0,12.7,34.5,35.0
5139,11.1,13.5,34.5,35.0
5141,11.1,12.9,34.5,35.0
5143,7.8,9.1,34.5,35.0
5145,8.8,10.1,34.5,35.0
5147,12.2,14.7,34.5,35.0
5149,11.7,12.9,34.5,35.0
6001,7.6,8.5,25.0,25.1
6003,8.4,10.3,25.0,25.1
6005,9.3,10.2,25.0,25.1
6007,8.3,10.2,25.0,25.1
6009,7.3,10.0,25.0,25.1
6011,7.6,9.6,25.0,25.1
6013,7.0,9.4,25.0,25.1
6015,8.1,8.4,25.0,25.1
6017,7.1,7.5,25.0,25.1
6019,8.5,9.4,25.0,25.1
6021,7.7,8.4,25.0,25.1
6023,9.4,8.8,25.0,25.1
6025,6.7,8.3,25.0,25.1
6027,8.0,9.4,25.0,25.1
6029,7.0,9.3,25.0,25.1
6031,5.7,7.5,25.0,25.1
6033,9.2,10.1,25.0,25.1
6035,6.5,7.6,25.0,25.1
6037,7.8,9.1,25.0,25.1
6039,7.8,7.9,25.0,25.1
6041,6.4,7.9,25.0,25.1
6043,8.3,10.7,25.0,25.1
6045,7.0,8.4,25.0,25.1
6047,7.5,9.2,25.0,25.1
6049,8.2,10.4,25.0,25.1
6051,7.0,7.4,25.0,25.1
6053,7.8,7.6,25.0,25.1
6055,7.3,8.4,25.0,25.1
6057,6.9,7.7,25.0,25.1
6059,7.0,8.0,25.0,25.1
6061,7.1,9.0,25.0,25.1
6063,8.0,9.8,25.0,25.1
6065,8.1,9.0,25.0,25.1
6067,8.4,8.4,25.0,25.1
6069,7.2,7.6,25.0,25.1
6071,7.7,9.2,25.0,25.1
6073,7.1,7.7,25.0,25.1
6075,7.9,7.9,25.0,25.1
6077,7.9,10.3,25.0,25.1
6079,6.4,8.5,25.0,25.1
6081,6.8,8.3,25.0,25.1
6083,7.5,7.1,25.0,25.1
6085,7.4,8.4,25.0,25.1
6087,6.2,7.0,25.0,25.1
6089,7.1,9.4,25.0,25.1
6091,8.8,9.6,25.0,25.1
6093,8.0,8.6,25.0,25.1
6095,9.9,9.8,25.0,25.1
6097,6.6,7.9,25.0,25.1
6099,8.1,9.7,25.0,25.1
6101,7.9,8.6,25.0,25.1
6103,8.7,11.2,25.0,25.1
6105,9.6,10.1,25.0,25.1
6107,7.6,8.0,25.0,25.1
6109,6.8,10.1,25.0,25.1
6111,7.1,7.6,25.0,25.1
6113,6.7,6.9,25.0,25.1
6115,6.2,7.6,25.0,25.1
8001,6.5,7.2,20.5,22.6
8003,5.6,6.7,20.5,22.6
8005,5.9,6.3,20.5,22.6
8007,5.4,5.9,20.5,22.6
8009,8.2,7.6,20.5,22.6
8011,5.6,7.0,20.5,22.6
8013,3.5,4.1,20.5,22.6
8014,4.5,5.5,20.5,22.6
8015,5.0,6.4,20.5,22.6
8017,6.1,6.5,20.5,22.6
8019,5.4,7.9,20.5,22.6
8021,6.2,6.0,20.5,22.6
8023,7.3,8.3,20.5,22.6
8025,4.7,6.0,20.5,22.6
8027,6.4,6.8,20.5,22.6
8029,6.7,7.6,20.5,22.6
8031,5.4,6.0,20.5,22.6
8033,5.7,7.5,20.5,22.6
8035,3.4,5.3,20.5,22.6
8037,3.0,3.3,20.5,22.6
8039,4.7,5.2,20.5,22.6
8041,5.5,7.0,20.5,22.6
8043,7.0,8.1,20.5,22.6
8045,4.6,4.7,20.5,22.6
8047,4.9,6.3,20.5,22.6
8049,4.7,5.6,20.5,22.6
8051,3.6,4.6,20.5,22.6
8053,6.4,6.6,20.5,22.6
8055,6.5,7.6,20.5,22.6
8057,6.7,6.6,20.5,22.6
8059,5.4,5.4,20.5,22.6
8061,7.3,7.7,20.5,22.6
8063,6.3,7.3,20.5,22.6
8065,4.5,5.4,20.5,22.6
8067,4.0,4.8,20.5,22.6
8069,4.6,5.2,20.5,22.6
8071,6.3,7.7,20.5,22.6
8073,6.2,7.6,20.5,22.6
8075,5.9,7.0,20.5,22.6
8077,5.6,7.2,20.5,22.6
8079,6.2,6.8,20.5,22.6
8081,5.7,6.3,20.5,22.6
8083,6.8,6.5,20.5,22.6
8085,5.4,8.1,20.5,22.6
8087,7.5,7.4,20.5,22.6
8089,7.1,6.8,20.5,22.6
8091,6.4,6.7,20.5,22.6
8093,4.9,6.7,20.5,22.6
8095,7.6,7.8,20.5,22.6
8097,4.3,5.1,20.5,22.6
8099,5.7,8.4,20.5,22.6
8101,6.8,9.1,20.5,22.6
8103,5.2,6.0,20.5,22.6
8105,6.1,6.9,20.5,22.6
8107,3.4,4.1,20.5,22.6
8109,5.4,7.0,20.5,22.6
8111,4.9,6.7,20.5,22.6
8113,4.2,5.0,20.5,22.6
8115,7.0,8.0,20.5,22.6
8117,3.5,4.1,20.5,22.6
8119,5.3,6.9,20.5,22.6
8121,7.3,6.5,20.5,22.6
8123,5.5,6.4,20.5,22.6
8125,6.4,6.1,20.5,22.6
9001,6.8,7.6,25.6,26.9
9003,7.9,9.6,25.6,26.9
9005,7.5,6.7,25.6,26.9
9007,7.4,8.4,25.6,26.9
9009,8.5,9.0,25.6,26.9
9011,7.8,9.2,25.6,26.9
9013,6.4,7.2,25.6,26.9
9015,9.1,10.1,25.6,26.9
10001,11.4,12.8,26.9,31.8
10003,7.9,9.0,26.9,31.8
10005,11.2,13.2,26.9,31.8
11001,8.3,8.1,21.9,22.9
12001,8.2,8.3,25.2,28.4
12003,12.2,13.0,25.2,28.4
12005,10.7,11.2,25.2,28.4
12007,11.3,14.4,25.2,28.4
12009,11.1,11.7,25.2,28.4
12011,9.3,9.5,25.2,28.4
12013,11.6,15.5,25.2,28.4
12015,11.5,14.1,25.2,28.4
12017,12.4,14.6,25.2,28.4
12019,10.6,12.0,25.2,28.4
12021,8.8,8.6,25.2,28.4
12023,10.1,12.7,25.2,28.4
12027,9.9,13.7,25.2,28.4
12029,11.4,14.0,25.2,28.4
12031,10.4,11.2,25.2,28.4
12033,11.0,12.4,25.2,28.4
12035,10.5,12.4,25.2,28.4
12037,10.2,11.0,25.2,28.4
12039,11.9,17.1,25.2,28.4
12041,9.5,8.4,25.2,28.4
12043,11.8,13.8,25.2,28.4
12045,9.7,11.1,25.2,28.4
12047,11.0,13.0,25.2,28.4
12049,12.0,12.6,25.2,28.4
12051,8.6,13.7,25.2,28.4
12053,10.8,13.4,25.2,28.4
12055,12.8,14.2,25.2,28.4
12057,8.3,10.4,25.2,28.4
12059,12.3,14.2,25.2,28.4
12061,10.0,11.4,25.2,28.4
12063,11.5,12.4,25.2,28.4
12065,11.2,11.7,25.2,28.4
12067,10.0,13.2,25.2,28.4
12069,11.5,14.7,25.2,28.4
12071,10.8,9.9,25.2,28.4
12073,8.4,8.3,25.2,28.4
12075,11.2,14.1,25.2,28.4
12077,10.3,13.4,25.2,28.4
12079,12.0,15.6,25.2,28.4
12081,9.0,10.6,25.2,28.4
12083,12.0,12.6,25.2,28.4
12085,9.0,11.3,25.2,28.4
12086,9.1,7.9,25.2,28.4
12087,8.6,8.6,25.2,28.4
12089,10.3,10.8,25.2,28.4
12091,9.5,9.7,25.2,28.4
12093,10.8,11.6,25.2,28.4
12095,9.5,8.8,25.2,28.4
12097,9.1,12.0,25.2,28.4
12099,9.5,10.5,25.2,28.4
12101,10.1,12.2,25.2,28.4
12103,9.4,10.8,25.2,28.4
12105,10.8,14.3,25.2,28.4
12107,12.8,12.2,25.2,28.4
12109,8.5,9.0,25.2,28.4
12111,9.4,11.5,25.2,28.4
12113,9.1,9.0,25.2,28.4
12115,9.9,11.1,25.2,28.4
12117,8.9,10.0,25.2,28.4
12119,9.2,14.9,25.2,28.4
12121,11.0,13.5,25.2,28.4
12123,10.2,15.4,25.2,28.4
12125,11.5,12.5,25.2,28.4
12127,9.6,12.4,25.2,28.4
12129,9.1,11.7,25.2,28.4
12131,10.4,11.6,25.2,28.4
12133,10.7,12.9,25.2,28.4
13001,10.8,12.9,29.1,31.6
13003,10.5,11.5,29.1,31.6
13005,10.5,10.4,29.1,31.6
13007,13.0,14.8,29.1,31.6
13009,11.4,14.0,29.1,31.6
13011,10.1,11.1,29.1,31.6
13013,9.6,11.3,29.1,31.6
13015,9.7,12.1,29.1,31.6
13017,12.4,12.4,29.1,31.6
13019,12.5,14.2,29.1,31.6
13021,13.2,12.7,29.1,31.6
13023,12.3,13.6,29.1,31.6
13025,10.4,10.9,29.1,31.6
13027,13.3,14.5,29.1,31.6
13029,9.6,12.3,29.1,31.6
13031,9.6,12.0,29.1,31.6
13033,12.7,14.7,29.1,31.6
13035,11.5,11.7,29.1,31.6
13037,13.2,14.4,29.1,31.6
13039,10.7,10.9,29.1,31.6
13043,11.8,13.7,29.1,31.6
13045,11.9,11.3,29.1,31.6
13047,11.1,12.2,29.1,31.6
13049,11.1,11.6,29.1,31.6
13051,11.8,11.0,29.1,31.6
13053,6.8,6.4,29.1,31.6
13055,11.1,11.0,29.1,31.6
13057,7.2,8.7,29.1,31.6
13059,8.2,8.3,29.1,31.6
13061,15.9,17.2,29.1,31.6
13063,11.9,11.6,29.1,31.6
13065,11.6,12.9,29.1,31.6
13067,8.9,8.5,29.1,31.6
13069,11.9,11.5,29.1,31.6
13071,11.2,12.8,29.1,31.6
13073,9.7,10.4,29.1,31.6
13075,12.3,12.2,29.1,31.6
13077,10.3,10.6,29.1,31.6
13079,11.6,13.1,29.1,31.6
13081,12.0,14.2,29.1,31.6
13083,11.1,12.2,29.1,31.6
13085,9.9,10.5,29.1,31.6
13087,12.2,12.1,29.1,31.6
13089,10.1,10.0,29.1,31.6
13091,12.9,13.5,29.1,31.6
13093,13.4,14.8,29.1,31.6
13095,14.2,12.4,29.1,31.6
13097,10.3,12.0,29.1,31.6
13099,13.9,15.6,29.1,31.6
13101,9.0,10.9,29.1,31.6
13103,9.7,13.5,29.1,31.6
13105,12.7,13.0,29.1,31.6
13107,12.5,11.6,29.1,31.6
13109,12.0,13.4,29.1,31.6
13111,10.8,12.2,29.1,31.6
13113,12.6,12.9,29.1,31.6
13115,10.5,13.6,29.1,31.6
13117,8.2,10.8,29.1,31.6
13119,10.6,12.4,29.1,31.6
13121,8.7,8.7,29.1,31.6
13123,10.2,12.4,29.1,31.6
13125,11.5,11.8,29.1,31.6
13127,11.1,11.5,29.1,31.6
13129,9.0,10.2,29.1,31.6
13131,12.3,12.1,29.1,31.6
13133,13.9,15.4,29.1,31.6
13135,8.6,8.3,29.1,31.6
13137,10.0,11.4,29.1,31.6
13139,9.9,10.9,29.1,31.6
13141,14.2,15.8,29.1,31.6
13143,10.8,11.2,29.1,31.6
13145,11.4,13.2,29.1,31.6
13147,11.5,13.5,29.1,31.6
13149,10.7,12.0,29.1,31.6
13151,9.7,13.5,29.1,31.6
13153,11.9,13.2,29.1,31.6
13155,11.6,12.4,29.1,31.6
13157,10.6,11.2,29.1,31.6
13159,11.5,12.6,29.1,31.6
13161,12.0,12.8,29.1,31.6
13163,14.4,16.7,29.1,31.6
13165,13.6,12.1,29.1,31.6
13167,12.2,12.7,29.1,31.6
13169,11.8,12.4,29.1,31.6
13171,12.1,11.7,29.1,31.6
13173,10.6,11.4,29.1,31.6
13175,12.3,14.4,29.1,31.6
13177,9.7,10.7,29.1,31.6
13179,10.8,10.4,29.1,31.6
13181,13.1,14.1,29.1,31.6
13183,10.0,9.8,29.1,31.6
13185,11.1,11.6,29.1,31.6
13187,8.8,10.8,29.1,31.6
13189,12.3,17.4,29.1,31.6
13191,13.5,15.2,29.1,31.6
13193,14.2,13.5,29.1,31.6
13195,11.4,13.3,29.1,31.6
13197,12.0,14.0,29.1,31.6
13199,13.4,14.8,29.1,31.6
13201,13.1,13.3,29.1,31.6
13205,11.9,14.4,29.1,31.6
13207,11.3,14.5,29.1,31.6
13209,10.5,13.4,29.1,31.6
13211,12.2,11.6,29.1,31.6
13213,10.6,12.7,29.1,31.6
13215,12.8,13.4,29.1,31.6
13217,10.6,10.4,29.1,31.6
13219,9.7,9.3,29.1,31.6
13221,10.6,13.0,29.1,31.6
13223,10.2,11.0,29.1,31.6
13225,11.9,13.6,29.1,31.6
13227,9.4,14.2,29.1,31.6
13229,12.0,11.3,29.1,31.6
13231,10.2,11.7,29.1,31.6
13233,11.5,10.4,29.1,31.6
13235,12.7,13.6,29.1,31.6
13237,13.2,12.8,29.1,31.6
13239,13.7,16.9,29.1,31.6
13241,11.9,13.0,29.1,31.6
13243,14.8,16.7,29.1,31.6
13245,12.3,13.5,29.1,31.6
13247,11.2,13.1,29.1,31.6
13249,11.3,12.6,29.1,31.6
13251,13.6,13.6,29.1,31.6
13253,13.5,14.2,29.1,31.6
13255,11.8,12.9,29.1,31.6
13257,12.9,12.6,29.1,31.6
13259,16.8,13.7,29.1,31.6
13261,13.2,13.8,29.1,31.6
13263,14.9,16.3,29.1,31.6
13265,16.2,16.2,29.1,31.6
13267,11.6,10.2,29.1,31.6
13269,14.0,14.5,29.1,31.6
13271,11.6,12.3,29.1,31.6
13273,13.9,14.9,29.1,31.6
13275,13.2,14.0,29.1,31.6
13277,12.0,13.2,29.1,31.6
13279,12.7,13.6,29.1,31.6
13281,12.3,12.9,29.1,31.6
13283,11.9,12.3,29.1,31.6
13285,12.5,12.6,29.1,31.6
13287,13.4,14.3,29.1,31.6
13289,13.3,14.5,29.1,31.6
13291,13.5,15.9,29.1,31.6
13293,12.5,11.9,29.1,31.6
13295,12.2,12.4,29.1,31.6
13297,10.4,11.6,29.1,31.6
13299,12.4,12.3,29.1,31.6
13301,14.7,15.8,29.1,31.6
13303,13.3,13.0,29.1,31.6
13305,10.5,13.1,29.1,31.6
13307,13.4,14.6,29.1,31.6
13309,11.2,12.1,29.1,31.6
13311,10.3,12.6,29.1,31.6
13313,10.5,13.2,29.1,31.6
13315,12.0,11.4,29.1,31.6
13317,14.8,15.5,29.1,31.6
13319,13.1,14.8,29.1,31.6
13321,11.8,13.9,29.1,31.6
15001,7.2,8.1,23.6,23.8
15003,8.4,8.4,23.6,23.8
15005,11.5,11.3,23.6,23.8
15007,8.3,8.3,23.6,23.8
15009,7.6,7.7,23.6,23.8
16001,7.1,7.5,26.8,29.3
16003,8.8,11.6,26.8,29.3
16005,8.6,10.0,26.8,29.3
16007,8.3,8.9,26.8,29.3
16009,8.5,9.4,26.8,29.3
16011,10.8,9.9,26.8,29.3
16013,5.3,6.6,26.8,29.3
16015,8.8,9.6,26.8,29.3
16017,7.8,7.6,26.8,29.3
16019,8.5,8.5,26.8,29.3
16021,8.1,11.0,26.8,29.3
16023,9.9,9.5,26.8,29.3
16025,8.1,9.4,26.8,29.3
16027,8.3,9.5,26.8,29.3
16029,8.4,10.5,26.8,29.3
16031,9.9,9.0,26.8,29.3
16033,8.6,8.5,26.8,29.3
16035,10.1,11.1,26.8,29.3
16037,8.6,9.4,26.8,29.3
16039,8.3,8.6,26.8,29.3
16041,7.8,7.9,26.8,29.3
16043,7.8,9.0,26.8,29.3
16045,8.5,9.9,26.8,29.3
16047,8.6,9.8,26.8,29.3
16049,10.1,9.5,26.8,29.3
16051,7.9,8.8,26.8,29.3
16053,8.9,7.7,26.8,29.3
16055,8.0,9.6,26.8,29.3
16057,6.7,6.4,26.8,29.3
16059,8.2,12.1,26.8,29.3
16061,9.8,10.5,26.8,29.3
16063,8.1,8.3,26.8,29.3
16065,6.0,5.5,26.8,29.3
16067,11.3,10.8,26.8,29.3
16069,11.2,11.0,26.8,29.3
16071,9.2,12.2,26.8,29.3
16073,7.7,9.5,26.8,29.3
16075,8.5,9.2,26.8,29.3
16077,8.2,8.2,26.8,29.3
16079,8.8,10.2,26.8,29.3
16081,6.6,6.0,26.8,29.3
16083,9.5,8.7,26.8,29.3
16085,8.6,8.4,26.8,29.3
