GEOID10,CountyCode,CountyName,Total_Population,Low_Acess_Population,Low_Income_Low_Acess,mrfei
26049000100,26049,Genesse,,,,16.66666667
26049000200,26049,Genesse,,,,22.22222222
26049000300,26049,Genesse,,,,30.0
26049000400,26049,Genesse,,,,25.0
26049000500,26049,Genesse,,,,25.0
26049000600,26049,Genesse,,,,14.28571429
26049000700,26049,Genesse,,,,12.5
26049000800,26049,Genesse,,,,13.33333333
26049000900,26049,Genesse,,,,0.0
26049001000,26049,Genesse,3861.0,3861.0,1388.0,0.0
26049001100,26049,Genesse,3419.0,1820.0,619.0,0.0
26049001200,26049,Genesse,,,,0.0
26049001300,26049,Genesse,,,,0.0
26049001400,26049,Genesse,2210.0,2210.0,960.0,0.0
26049001500,26049,Genesse,2515.0,961.0,459.0,0.0
26049001600,26049,Genesse,,,,4.166666667
26049001700,26049,Genesse,,,,15.38461538
26049001800,26049,Genesse,2354.0,1962.0,994.0,0.0
26049001900,26049,Genesse,2513.0,1521.0,487.0,0.0
26049002000,26049,Genesse,2072.0,691.0,294.0,0.0
26049002200,26049,Genesse,,,,8.333333333
26049002300,26049,Genesse,,,,13.33333333
26049002400,26049,Genesse,,,,0.0
26049002600,26049,Genesse,,,,18.75
26049002700,26049,Genesse,,,,5.555555556
26049002800,26049,Genesse,2595.0,2595.0,870.0,6.25
26049002900,26049,Genesse,,,,11.11111111
26049003000,26049,Genesse,,,,0.0
26049003100,26049,Genesse,,,,0.0
26049003200,26049,Genesse,2908.0,2440.0,808.0,0.0
26049003200,26049,Genesse,2980.0,903.0,55.0,
26049003300,26049,Genesse,,,,0.0
26049003400,26049,Genesse,,,,0.0
26049003500,26049,Genesse,,,,0.0
26049003600,26049,Genesse,5123.0,1883.0,139.0,4.761904762
26049003700,26049,Genesse,3240.0,3240.0,616.0,0.0
26049003800,26049,Genesse,2008.0,2008.0,525.0,0.0
26049004000,26049,Genesse,3892.0,1545.0,250.0,10.52631579
26049010110,26049,Genesse,,,,16.66666667
26049010111,26049,Genesse,,,,0.0
26049010112,26049,Genesse,,,,0.0
26049010113,26049,Genesse,2245.0,955.0,95.0,16.66666667
26049010114,26049,Genesse,,,,6.25
26049010115,26049,Genesse,,,,0.0
26049010201,26049,Genesse,,,,0.0
26049010202,26049,Genesse,,,,0.0
26049010304,26049,Genesse,4950.0,1919.0,545.0,20.0
26049010305,26049,Genesse,5617.0,2895.0,689.0,7.692307692
26049010501,26049,Genesse,,,,10.0
26049010502,26049,Genesse,,,,13.33333333
26049010503,26049,Genesse,,,,0.0
26049010504,26049,Genesse,,,,12.5
26049010603,26049,Genesse,,,,11.11111111
26049010604,26049,Genesse,,,,9.090909091
26049010610,26049,Genesse,,,,0.0
26049010700,26049,Genesse,,,,11.11111111
26049010810,26049,Genesse,,,,0.0
26049010811,26049,Genesse,2505.0,2400.0,475.0,0.0
26049010812,26049,Genesse,4645.0,789.0,185.0,0.0
26049010813,26049,Genesse,,,,13.33333333
26049010910,26049,Genesse,,,,12.5
26049010911,26049,Genesse,,,,4.166666667
26049010912,26049,Genesse,,,,7.142857143
26049011010,26049,Genesse,,,,17.64705882
26049011101,26049,Genesse,,,,8.333333333
26049011102,26049,Genesse,,,,0.0
26049011209,26049,Genesse,,,,20.83333333
26049011210,26049,Genesse,,,,22.72727273
26049011211,26049,Genesse,,,,8.333333333
26049011212,26049,Genesse,,,,14.81481481
26049011213,26049,Genesse,,,,25.0
26049011214,26049,Genesse,,,,25.0
26049011301,26049,Genesse,5978.0,806.0,70.0,17.39130435
26049011302,26049,Genesse,3869.0,2235.0,308.0,0.0
26049011401,26049,Genesse,,,,7.142857143
26049011402,26049,Genesse,,,,50.0
26049011502,26049,Genesse,,,,19.04761905
26049011503,26049,Genesse,,,,16.66666667
26049011505,26049,Genesse,,,,8.0
26049011508,26049,Genesse,,,,10.52631579
26049011601,26049,Genesse,,,,0.0
26049011610,26049,Genesse,,,,8.333333333
26049011710,26049,Genesse,,,,0.0
26049011711,26049,Genesse,,,,0.0
26049011712,26049,Genesse,,,,0.0
26049011713,26049,Genesse,,,,6.25
26049011714,26049,Genesse,,,,0.0
26049011800,26049,Genesse,,,,0.0
26049011901,26049,Genesse,,,,0.0
26049011902,26049,Genesse,,,,0.0
26049012003,26049,Genesse,3562.0,1431.0,228.0,0.0
26049012006,26049,Genesse,,,,11.11111111
26049012007,26049,Genesse,,,,0.0
26049012008,26049,Genesse,,,,20.0
26049012009,26049,Genesse,,,,100.0
26049012100,26049,Genesse,,,,0.0
26049012201,26049,Genesse,3446.0,899.0,145.0,9.090909091
