,FIPS,MEDHHINC15,POVRATE15,PERPOV10,CHILDPOVRATE15,PERCHLDPOV10,METRO13
1667,31027,56092.0,9.4,0,12.4,0,0
1668,31029,55319.0,8.2,0,11.0,0,0
1669,31031,54564.0,11.7,0,18.0,0,0
1670,31033,57255.0,9.0,0,11.1,0,0
1671,31035,51431.0,10.2,0,14.7,0,0
1672,31037,50744.0,10.9,0,14.7,0,0
1673,31039,56995.0,9.9,0,13.0,0,0
1674,31041,51014.0,11.6,0,16.1,0,0
1675,31043,49093.0,14.6,0,20.7,0,1
1676,31045,44135.0,17.8,0,20.5,0,0
1677,31047,47991.0,12.6,0,16.7,0,0
1678,31049,47641.0,11.1,0,18.7,0,0
1679,31051,52152.0,9.3,0,12.2,0,1
1680,31053,48969.0,11.6,0,15.1,0,0
1681,31055,58405.0,14.5,0,20.0,0,1
1682,31057,45745.0,13.2,0,19.2,0,0
1683,31059,54086.0,9.8,0,12.8,0,0
1684,31061,44911.0,13.3,0,19.7,0,0
1685,31063,50700.0,12.6,0,19.0,0,0
1686,31065,40032.0,13.4,0,18.4,0,0
1687,31067,50746.0,10.2,0,15.0,0,0
1688,31069,42186.0,14.8,0,27.3,0,0
1689,31071,44643.0,11.9,0,15.5,0,0
1690,31073,56882.0,9.1,0,16.5,0,0
1691,31075,56646.0,9.2,0,6.7,0,0
1692,31077,44920.0,12.2,0,20.1,0,0
1693,31079,50093.0,13.5,0,19.5,0,1
1694,31081,65103.0,7.3,0,8.9,0,1
1695,31083,47844.0,12.0,0,17.4,0,0
1696,31085,50516.0,14.7,0,23.8,0,0
1697,31087,43054.0,14.1,0,20.4,0,0
1698,31089,50434.0,11.9,0,15.9,0,0
1699,31091,42989.0,8.1,0,11.5,0,0
1700,31093,52464.0,10.4,0,13.6,0,1
1701,31095,46812.0,12.3,0,17.1,0,0
1702,31097,47382.0,13.2,0,14.1,0,0
1703,31099,50645.0,8.6,0,11.9,0,0
1704,31101,46888.0,10.9,0,19.0,0,0
1705,31103,45886.0,15.1,0,20.8,1,0
1706,31105,45769.0,12.7,0,19.1,0,0
1707,31107,45566.0,13.7,0,20.1,1,0
1708,31109,54422.0,13.5,0,14.1,0,1
1709,31111,53856.0,12.3,0,16.3,0,0
1710,31113,51098.0,8.9,0,13.3,0,0
1711,31115,52862.0,15.3,0,24.3,0,0
1712,31117,57175.0,12.1,0,20.0,0,0
1713,31119,51330.0,13.8,0,17.6,0,0
1714,31121,51219.0,10.4,0,15.1,0,1
1715,31123,49082.0,13.5,0,20.1,0,0
1716,31125,46958.0,13.2,0,16.5,0,0
1717,31127,52034.0,13.1,0,15.1,0,0
1718,31129,41956.0,12.5,0,19.4,0,0
1719,31131,53015.0,10.6,0,14.3,0,0
1720,31133,43646.0,13.2,0,22.1,0,0
1721,31135,58066.0,10.1,0,13.4,0,0
1722,31137,55566.0,10.4,0,13.8,0,0
1723,31139,56744.0,9.4,0,11.6,0,0
1724,31141,58554.0,8.3,0,11.3,0,0
1725,31143,61965.0,7.9,0,10.8,0,0
1726,31145,49308.0,11.8,0,15.9,0,0
1727,31147,44648.0,13.0,0,19.8,0,0
1728,31149,51447.0,14.2,0,18.3,0,0
1729,31151,55850.0,10.0,0,13.3,0,0
1730,31153,73856.0,5.8,0,7.5,0,1
1731,31155,61025.0,8.8,0,11.3,0,1
1732,31157,43428.0,15.1,0,22.8,0,0
1733,31159,62455.0,7.5,0,7.6,0,1
1734,31161,47005.0,14.3,0,23.4,0,0
1735,31163,42643.0,12.5,0,18.9,0,0
1736,31165,55606.0,14.0,0,20.5,0,0
1737,31167,56423.0,8.5,0,12.0,0,0
1738,31169,48947.0,10.2,0,14.9,0,0
1739,31171,48754.0,12.6,0,17.8,0,0
1740,31173,42290.0,25.6,1,35.6,1,0
1741,31175,49929.0,12.2,0,16.2,0,0
1742,31177,68435.0,6.7,0,8.4,0,1
1743,31179,54503.0,12.0,0,11.6,0,0
1744,31181,40444.0,12.9,0,14.8,0,0
1745,31183,55106.0,11.4,0,18.4,0,0
1746,31185,59500.0,10.1,0,14.2,0,0
1747,32001,54134.0,13.1,0,19.3,0,0
1748,32003,51624.0,15.4,0,22.6,0,1
1749,32005,63620.0,9.4,0,15.2,0,0
1750,32007,76518.0,9.9,0,12.6,0,0
1751,32009,49057.0,14.7,0,20.7,0,0
1752,32011,65459.0,9.5,0,12.0,0,0
1753,32013,68060.0,9.4,0,15.0,0,0
1754,32015,76713.0,10.8,0,14.4,0,0
1755,32017,51788.0,14.3,0,17.8,0,0
1756,32019,51934.0,13.8,0,22.6,0,0
1757,32021,42164.0,18.0,0,33.6,0,0
1758,32023,43819.0,17.5,0,28.6,0,0
1759,32027,54416.0,18.3,0,19.9,0,0
1760,32029,61594.0,7.8,0,13.1,0,1
1761,32031,56457.0,13.8,0,18.3,0,1
1762,32033,54975.0,14.1,0,19.3,0,0
1763,32510,47015.0,16.4,0,23.1,0,1
1764,33001,63377.0,8.8,0,13.5,0,0
