,FMRKTPTH13,FMRKTPTH18,FOODHUB18
0,0.01827719248831272,0.017985288053750992,
1,0.020524820312857628,0.018346771597862244,
2,0.11134204268455505,0.16076524555683136,
3,0.04441286250948906,0.0446428582072258,
4,0.01735779643058777,0.017289074137806892,
5,0.09477774798870087,0.09863878786563873,
6,0.09816432744264603,0.10162601619958878,
7,0.02574201300740242,0.017501333728432655,
8,0.029288580641150475,0.029748624190688133,
9,0.03842459246516228,0.038414258509874344,
10,0.0,0.0,
11,0.0746491476893425,0.07787555456161499,
12,0.07961149513721466,0.08361203968524933,
13,0.1492091864347458,0.15065912902355194,
14,0.06677350401878357,0.066724494099617,
15,0.019732818007469177,0.038528963923454285,
16,0.05501256138086319,0.03652167692780495,
17,0.07745333760976791,0.0814531221985817,
18,0.0,0.0,
19,0.0528932623565197,0.05407451465725899,
20,0.0721813216805458,0.07233796268701553,
21,0.012393416836857796,0.01198437251150608,
22,0.040183234959840775,0.04085301235318184,
23,0.02381916530430317,0.02610284462571144,
24,0.042306553572416306,0.028017090633511543,
25,0.012411721982061863,0.024423900991678238,
26,0.07944284379482269,0.05442472919821739,
27,0.02887864224612713,0.02926800772547722,
28,0.05945656821131706,0.06085316091775894,
29,0.0633874237537384,0.06376940757036209,
30,0.0,0.0,
31,0.22859755158424377,0.24292480945587158,
32,0.06558667123317719,0.06790710240602493,
33,0.11674059927463531,0.11621826142072678,
34,0.02894691191613674,0.028647275641560555,
35,0.018882887437939644,0.019328899681568146,
36,0.024271991103887558,0.025784922763705254,
37,0.07037297636270523,0.07223346084356308,
38,0.010786788538098335,0.010824033990502357,
39,0.029782291501760483,0.030342567712068558,
40,0.026345081627368927,0.02439902164041996,
41,0.011247328482568264,0.010397820733487606,
42,0.09376464784145355,0.1002606749534607,
43,0.04993508383631706,0.0542328767478466,
44,0.01730937324464321,0.01909860037267208,1.0
45,0.09943322837352753,0.1573481559753418,
46,0.06616382300853729,0.0671975240111351,
47,0.04238635301589966,0.031214557588100433,
48,0.014485405758023262,0.012084387242794037,
49,0.09020792692899704,0.09493520855903625,
50,0.01753055863082409,0.013288271613419056,
51,0.016726044937968254,0.02519124373793602,
52,0.1999000459909439,0.10940919071435928,
53,0.10360010713338852,0.10031096637248993,
54,0.029662149026989937,0.02999580092728138,
55,0.0,0.08800879865884781,
56,0.016911031678318977,0.017306726425886154,
57,0.011654332280158997,0.01127522811293602,
58,0.03919493779540062,0.037087343633174896,
59,0.0746491476893425,0.07879599928855896,
60,0.01226798165589571,0.01252693310379982,
61,0.07312079519033432,0.024693187326192856,
62,0.014919138513505459,0.009573454968631268,
63,0.015204963274300098,0.015695877373218536,
64,0.05918210372328758,0.06105751544237137,
65,0.2690100371837616,0.28229981660842896,
66,0.0413462333381176,0.042265426367521286,
67,0.0,0.0,
68,0.0,0.17473353445529938,
69,0.023243844509124756,0.03430084511637688,
70,0.0,0.0,
71,0.0,0.0,
72,0.0,0.0,
73,0.20084354281425476,0.20000000298023224,
74,0.029724160209298134,0.030311910435557365,
75,0.3909304141998291,0.40420371294021606,
76,0.0,0.0,
77,0.0,0.06228007376194,1.0
78,0.08769621700048447,0.10250627994537354,1.0
79,0.0,0.0,
