,PCT_DIABETES_ADULTS08,PCT_DIABETES_ADULTS13,PCT_OBESE_ADULTS12,PCT_OBESE_ADULTS17,PCT_HSPA17,RECFACPTH11,RECFACPTH16
99,10.9,11.2,26.0,29.5,24.5,0.093594399,0.0375256
100,9.1,10.3,26.0,29.5,24.5,0.080810258,0.0529563
101,8.2,10.7,26.0,29.5,24.5,0.0,0.0
102,12.0,14.8,26.0,29.5,24.5,0.0,0.0
103,7.4,9.0,26.0,29.5,24.5,0.072099991,0.086691896
104,11.1,12.8,26.0,29.5,24.5,0.073988941,0.063295762
105,12.9,13.1,26.0,29.5,24.5,0.0279023,0.0369269
106,7.8,8.8,26.0,29.5,24.5,0.102299511,0.114565751
107,8.4,12.3,26.0,29.5,24.5,0.0237953,0.0313166
108,6.3,8.0,26.0,29.5,24.5,0.0210018,0.0434075
109,8.0,10.5,26.0,29.5,24.5,0.099581284,0.106969509
110,10.0,12.6,26.0,29.5,24.5,0.0394904,0.0584047
111,12.6,12.9,34.5,35.0,21.400000000000006,0.052997,0.0548998
112,11.3,14.5,34.5,35.0,21.400000000000006,0.0,0.097570495
113,11.8,16.0,34.5,35.0,21.400000000000006,0.096756247,0.072912869
114,7.8,9.6,34.5,35.0,21.400000000000006,0.109252842,0.088904694
115,10.1,12.4,34.5,35.0,21.400000000000006,0.0269811,0.0
116,12.2,13.1,34.5,35.0,21.400000000000006,0.087527352,0.091082977
117,12.6,13.7,34.5,35.0,21.400000000000006,0.0,0.0
118,10.9,13.0,34.5,35.0,21.400000000000006,0.072865054,0.0
119,14.7,15.2,34.5,35.0,21.400000000000006,0.0,0.0
120,10.1,11.6,34.5,35.0,21.400000000000006,0.08726765,0.088691796
121,12.0,11.1,34.5,35.0,21.400000000000006,0.063004032,0.066414292
122,11.9,13.5,34.5,35.0,21.400000000000006,0.038625,0.0
123,11.8,13.0,34.5,35.0,21.400000000000006,0.0,0.0
124,12.0,12.9,34.5,35.0,21.400000000000006,0.162061421,0.083392403
125,10.4,13.7,34.5,35.0,21.400000000000006,0.094719394,0.0478583
126,10.1,13.1,34.5,35.0,21.400000000000006,0.091547147,0.056721
127,8.2,11.4,34.5,35.0,21.400000000000006,0.064725966,0.096371609
128,13.8,15.8,34.5,35.0,21.400000000000006,0.0396008,0.0405515
129,12.3,13.6,34.5,35.0,21.400000000000006,0.112384806,0.11739156
130,13.6,14.4,34.5,35.0,21.400000000000006,0.0,0.0
131,13.3,15.1,34.5,35.0,21.400000000000006,0.078573112,0.0
132,10.6,13.6,34.5,35.0,21.400000000000006,0.0534045,0.0
133,9.3,11.2,34.5,35.0,21.400000000000006,0.103249787,0.057338
134,10.9,13.8,34.5,35.0,21.400000000000006,0.0,0.0
135,11.4,15.6,34.5,35.0,21.400000000000006,0.0,0.083063377
136,10.2,14.5,34.5,35.0,21.400000000000006,0.072288659,0.0407203
137,9.4,11.1,34.5,35.0,21.400000000000006,0.0,0.0552669
138,9.6,12.9,34.5,35.0,21.400000000000006,0.093565063,0.06709158
139,13.0,13.5,34.5,35.0,21.400000000000006,0.133392619,0.0
140,10.7,12.2,34.5,35.0,21.400000000000006,0.030185,0.0597979
141,11.8,13.4,34.5,35.0,21.400000000000006,0.072353665,0.074415836
142,10.1,13.1,34.5,35.0,21.400000000000006,0.05428,0.107834151
143,9.8,15.5,34.5,35.0,21.400000000000006,0.0,0.0
144,11.4,12.9,34.5,35.0,21.400000000000006,0.111831805,0.0
145,12.5,15.4,34.5,35.0,21.400000000000006,0.026313,0.0142163
146,9.9,12.5,34.5,35.0,21.400000000000006,0.039,0.0381316
147,13.5,15.3,34.5,35.0,21.400000000000006,0.0,0.0
148,11.2,13.2,34.5,35.0,21.400000000000006,0.0,0.0600998
149,12.7,13.1,34.5,35.0,21.400000000000006,0.0,0.0
150,10.4,12.3,34.5,35.0,21.400000000000006,0.069754464,0.072411296
151,11.9,12.9,34.5,35.0,21.400000000000006,0.0,0.0
152,9.6,13.8,34.5,35.0,21.400000000000006,0.0449863,0.0
153,10.9,13.1,34.5,35.0,21.400000000000006,0.0287944,0.0418078
154,9.8,11.8,34.5,35.0,21.400000000000006,0.0,0.0
155,11.8,12.2,34.5,35.0,21.400000000000006,0.0,0.0
156,13.8,12.3,34.5,35.0,21.400000000000006,0.068569861,0.068377627
157,12.6,15.9,34.5,35.0,21.400000000000006,0.0434679,0.116590883
158,13.3,17.2,34.5,35.0,21.400000000000006,0.0,0.138217001
159,10.9,14.3,34.5,35.0,21.400000000000006,0.0,0.0
160,13.2,13.9,34.5,35.0,21.400000000000006,0.0,0.0
161,12.7,12.8,34.5,35.0,21.400000000000006,0.0,0.0
162,13.4,14.8,34.5,35.0,21.400000000000006,0.116604478,0.12490112
163,10.0,12.2,34.5,35.0,21.400000000000006,0.0,0.0
164,13.8,16.7,34.5,35.0,21.400000000000006,0.0467181,0.104986877
165,11.0,12.4,34.5,35.0,21.400000000000006,0.0,0.0
166,11.9,13.8,34.5,35.0,21.400000000000006,0.0,0.0
167,10.7,13.9,34.5,35.0,21.400000000000006,0.0486523,0.099299935
168,9.6,11.2,34.5,35.0,21.400000000000006,0.095764037,0.093967299
169,11.1,14.3,34.5,35.0,21.400000000000006,0.0,0.0
170,10.0,12.0,34.5,35.0,21.400000000000006,0.126720096,0.114306906
171,11.4,12.7,34.5,35.0,21.400000000000006,0.111296605,0.114889706
172,12.9,16.4,34.5,35.0,21.400000000000006,0.0,0.038017
173,9.6,11.8,34.5,35.0,21.400000000000006,0.082185026,0.102060777
174,10.9,11.4,34.5,35.0,21.400000000000006,0.0,0.0
175,12.5,13.4,34.5,35.0,21.400000000000006,0.0,0.0
176,10.1,12.9,34.5,35.0,21.400000000000006,0.118179096,0.101907233
177,12.1,12.2,34.5,35.0,21.400000000000006,0.0582242,0.0589797
