,FFRPTH11,FFRPTH16,FSRPTH11,FSRPTH16,PC_FFRSALES07,PC_FFRSALES12,PC_FSRSALES07,PC_FSRSALES12
0,0.615953188,0.7959767,0.579720647,0.560801766,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
1,0.648675309,0.751774622,1.15796584,1.137300069,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
2,0.694672955,0.892372158,0.621549486,0.543183053,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
3,0.26379424,0.309282905,0.219828534,0.309282905,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
4,0.347451444,0.39956916,0.260588583,0.208470866,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
5,0.37470726,0.2873288,0.18735363,0.095776267,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
6,0.814176245,0.901577761,0.670498084,0.450788881,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
7,0.772594133,0.826230649,0.662223543,0.652287354,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
8,0.675854368,0.860100246,0.528929505,0.533855325,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
9,0.654022237,0.58216254,0.269303274,0.465730032,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
10,0.480681194,0.501939311,0.480681194,0.524754734,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
11,0.440949511,0.459770115,0.440949511,0.536398467,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
12,0.938159643,1.026694045,0.508169807,0.533880903,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
13,0.292226768,0.298284862,0.438340152,0.596569724,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
14,0.535905681,0.336179654,0.20096463,0.134471862,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
15,0.71380418,0.780990687,0.416385772,0.605267782,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
16,0.880184839,0.97557384,0.568452708,0.662653929,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
17,0.227496777,0.559328805,0.379161295,0.239712345,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
18,0.0,0.092515496,0.0,0.092515496,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
19,0.604992503,0.722195474,0.499776416,0.50821163,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
20,0.287811196,0.575249874,0.647575191,0.431437406,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
21,0.646677693,0.765287529,0.547188817,0.522339107,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
22,0.638633325,0.710977492,0.598718742,0.548468351,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
23,0.462363603,0.623736933,0.416127242,0.299393728,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
24,0.54657828,0.561671534,0.462489314,0.449337228,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
25,0.399970002,0.480059084,0.449966253,0.492368291,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
26,0.602062719,0.747144839,0.471179519,0.506991141,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
27,0.728290243,0.82744388,0.507886617,0.564608765,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
28,0.879765396,0.786068448,0.410557185,0.544201234,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
29,0.535146536,0.538366533,0.566625744,0.538366533,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
30,0.411061286,0.377130789,0.33632287,0.716548499,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
31,0.0,0.235626767,0.0,0.235626767,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
32,0.26045058,0.673536741,0.325563224,0.269414697,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
33,0.575506446,0.76058975,0.517955801,0.468055231,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
34,0.888082133,1.113532297,0.761213257,0.700757394,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
35,0.563782605,0.61480528,0.544989852,0.49952929,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
36,0.919747822,1.074654375,0.586814313,0.594167158,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
37,0.349968503,0.430138361,0.839924407,0.501828088,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
38,0.734317463,0.769072455,0.745116249,0.747408442,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
39,0.528680941,0.451372171,0.528680941,0.451372171,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
40,0.742452313,0.9120472,0.68694186,0.64157803,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
41,0.467672162,0.55962118,0.43259675,0.473525613,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
42,0.08984726,0.097646714,0.179694519,0.195293428,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
43,0.516820147,0.471895973,0.093967299,0.157298658,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
44,0.88360298,0.934574193,0.700991697,0.625855991,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
45,0.677998935,0.922840297,0.532713449,0.615226865,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
46,0.75040783,0.634984292,0.554649266,0.701824744,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
47,0.745553307,0.841724272,0.702950261,0.652336311,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
