,FOODINSEC_12_14,FOODINSEC_15_17,VLFOODSEC_12_14,VLFOODSEC_15_17
174,15.4,13.1,6.2,5.7
175,15.4,13.1,6.2,5.7
176,15.4,13.1,6.2,5.7
177,15.4,13.1,6.2,5.7
178,15.4,13.1,6.2,5.7
179,15.4,13.1,6.2,5.7
180,15.4,13.1,6.2,5.7
181,15.4,13.1,6.2,5.7
182,15.4,13.1,6.2,5.7
183,15.4,13.1,6.2,5.7
184,15.4,13.1,6.2,5.7
185,15.4,13.1,6.2,5.7
186,13.5,11.2,5.1,4.1
187,13.5,11.2,5.1,4.1
188,13.5,11.2,5.1,4.1
189,13.5,11.2,5.1,4.1
190,13.5,11.2,5.1,4.1
191,13.5,11.2,5.1,4.1
192,13.5,11.2,5.1,4.1
193,13.5,11.2,5.1,4.1
194,13.5,11.2,5.1,4.1
195,13.5,11.2,5.1,4.1
196,13.5,11.2,5.1,4.1
197,13.5,11.2,5.1,4.1
198,13.5,11.2,5.1,4.1
199,13.5,11.2,5.1,4.1
200,13.5,11.2,5.1,4.1
201,13.5,11.2,5.1,4.1
202,13.5,11.2,5.1,4.1
203,13.5,11.2,5.1,4.1
204,13.5,11.2,5.1,4.1
205,13.5,11.2,5.1,4.1
206,13.5,11.2,5.1,4.1
207,13.5,11.2,5.1,4.1
208,13.5,11.2,5.1,4.1
209,13.5,11.2,5.1,4.1
210,13.5,11.2,5.1,4.1
211,13.5,11.2,5.1,4.1
212,13.5,11.2,5.1,4.1
213,13.5,11.2,5.1,4.1
214,13.5,11.2,5.1,4.1
215,13.5,11.2,5.1,4.1
216,13.5,11.2,5.1,4.1
217,13.5,11.2,5.1,4.1
218,13.5,11.2,5.1,4.1
219,13.5,11.2,5.1,4.1
220,13.5,11.2,5.1,4.1
221,13.5,11.2,5.1,4.1
222,13.5,11.2,5.1,4.1
223,13.5,11.2,5.1,4.1
224,13.5,11.2,5.1,4.1
225,13.5,11.2,5.1,4.1
226,13.5,11.2,5.1,4.1
227,13.5,11.2,5.1,4.1
228,13.5,11.2,5.1,4.1
229,13.5,11.2,5.1,4.1
230,13.5,11.2,5.1,4.1
231,13.5,11.2,5.1,4.1
232,13.5,11.2,5.1,4.1
233,13.5,11.2,5.1,4.1
234,13.5,11.2,5.1,4.1
235,13.5,11.2,5.1,4.1
236,13.5,11.2,5.1,4.1
237,13.5,11.2,5.1,4.1
238,13.5,11.2,5.1,4.1
239,13.5,11.2,5.1,4.1
240,13.5,11.2,5.1,4.1
241,13.5,11.2,5.1,4.1
242,13.5,11.2,5.1,4.1
243,13.5,11.2,5.1,4.1
244,13.6,9.2,5.2,3.8
245,13.6,9.2,5.2,3.8
246,13.6,9.2,5.2,3.8
247,13.6,9.2,5.2,3.8
248,13.6,9.2,5.2,3.8
249,13.6,9.2,5.2,3.8
250,13.6,9.2,5.2,3.8
251,13.6,9.2,5.2,3.8
252,13.6,9.2,5.2,3.8
253,13.6,9.2,5.2,3.8
254,13.6,9.2,5.2,3.8
255,13.6,9.2,5.2,3.8
256,13.6,9.2,5.2,3.8
257,13.6,9.2,5.2,3.8
258,13.6,9.2,5.2,3.8
259,13.6,9.2,5.2,3.8
260,13.6,9.2,5.2,3.8
261,13.6,9.2,5.2,3.8
262,13.6,9.2,5.2,3.8
263,13.6,9.2,5.2,3.8
264,13.6,9.2,5.2,3.8
265,13.6,9.2,5.2,3.8
266,13.6,9.2,5.2,3.8
267,13.6,9.2,5.2,3.8
268,13.6,9.2,5.2,3.8
269,13.6,9.2,5.2,3.8
270,13.6,9.2,5.2,3.8
271,13.6,9.2,5.2,3.8
272,13.6,9.2,5.2,3.8
273,13.6,9.2,5.2,3.8
274,13.6,9.2,5.2,3.8
275,13.6,9.2,5.2,3.8
276,13.6,9.2,5.2,3.8
277,13.6,9.2,5.2,3.8
278,13.6,9.2,5.2,3.8
279,13.6,9.2,5.2,3.8
280,13.6,9.2,5.2,3.8
281,13.6,9.2,5.2,3.8
282,13.6,9.2,5.2,3.8
283,13.6,9.2,5.2,3.8
284,13.6,9.2,5.2,3.8
285,13.6,9.2,5.2,3.8
286,13.6,9.2,5.2,3.8
287,13.6,9.2,5.2,3.8
288,13.6,9.2,5.2,3.8
289,13.6,9.2,5.2,3.8
290,13.6,9.2,5.2,3.8
291,13.6,9.2,5.2,3.8
292,13.6,9.2,5.2,3.8
293,13.6,9.2,5.2,3.8
294,13.6,9.2,5.2,3.8
295,13.6,9.2,5.2,3.8
296,13.6,9.2,5.2,3.8
297,13.6,9.2,5.2,3.8
298,13.6,9.2,5.2,3.8
299,13.6,9.2,5.2,3.8
300,13.6,9.2,5.2,3.8
301,13.6,9.2,5.2,3.8
302,13.6,9.2,5.2,3.8
303,13.6,9.2,5.2,3.8
304,13.6,9.2,5.2,3.8
305,13.6,9.2,5.2,3.8
306,13.6,9.2,5.2,3.8
307,13.6,9.2,5.2,3.8
308,13.9,12.2,6.0,4.7
309,13.9,12.2,6.0,4.7
310,13.9,12.2,6.0,4.7
311,13.9,12.2,6.0,4.7
312,13.9,12.2,6.0,4.7
313,13.9,12.2,6.0,4.7
314,13.9,12.2,6.0,4.7
315,13.9,12.2,6.0,4.7
316,13.2,11.2,4.9,4.5
317,13.2,11.2,4.9,4.5
318,13.2,11.2,4.9,4.5
319,12.1,11.1,4.6,3.5
